Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Daniel Gafford,35:08,7,12,.583,0,0,,0,0,,4,9,13,0,1,4,1,2,14,+11,35:08,.583,.583,.000,.000,10.7,29.3,19.1,0.0,1.4,10.3,7.7,15.7,116,105,0.1
Kyle Kuzma,32:08,11,24,.458,5,13,.385,1,1,1.000,0,4,4,2,2,1,3,2,28,+1,32:08,.573,.563,.542,.042,0.0,14.2,6.4,11.7,3.0,2.8,10.9,36.3,101,110,4.8
Tyus Jones,28:43,6,10,.600,3,4,.750,0,0,,0,3,3,8,1,0,1,1,15,-5,28:43,.750,.750,.400,.000,0.0,11.9,5.4,41.8,1.7,0.0,9.1,16.3,152,116,7.7
Jordan Poole,24:34,0,5,.000,0,4,.000,0,0,,0,2,2,5,1,0,1,6,0,-4,24:34,.000,.000,.800,.000,0.0,9.3,4.2,23.3,1.9,0.0,16.7,10.4,51,115,-14.7
Deni Avdija,19:59,3,10,.300,1,3,.333,2,4,.500,2,6,8,3,0,0,2,0,9,-10,19:59,.383,.350,.300,.400,9.4,34.3,20.7,20.7,0.0,0.0,14.5,29.3,86,116,-6.0
Corey Kispert,33:23,9,15,.600,4,9,.444,1,1,1.000,1,6,7,2,0,0,1,2,23,+2,33:23,.745,.733,.600,.067,2.8,20.5,10.8,9.9,0.0,0.0,6.1,20.9,139,118,5.3
Bilal Coulibaly,28:17,2,5,.400,1,2,.500,1,1,1.000,0,3,3,1,0,0,4,4,6,-17,28:17,.551,.500,.400,.200,0.0,12.1,5.5,4.4,0.0,0.0,42.4,14.2,64,119,-13.3
Eugene Omoruyi,12:52,1,6,.167,0,0,,1,2,.500,3,0,3,3,3,0,2,3,3,-19,12:52,.218,.167,.000,.333,21.9,0.0,12.0,29.2,11.1,0.0,22.5,29.3,72,96,-4.4
Delon Wright,12:36,2,2,1.000,1,1,1.000,0,0,,1,0,1,0,2,0,0,0,5,+1,12:36,1.250,1.250,.500,.000,7.5,0.0,4.1,0.0,7.5,0.0,0.0,6.7,247,105,13.7
Landry Shamet,12:20,1,5,.200,1,4,.250,0,0,,1,2,3,3,0,0,0,3,3,0,12:20,.300,.300,.800,.000,7.6,18.5,12.6,30.6,0.0,0.0,0.0,17.2,103,118,-6.1
Team Totals,240,42,94,.447,16,40,.400,6,9,.667,12,35,47,27,10,5,15,23,106,,240,.541,.532,.426,.096,23.5,83.3,50.5,64.3,9.9,9.4,13.3,100.0,104.8,112.7,
