Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaden Ivey,37:57,13,23,.565,5,7,.714,6,6,1.000,2,4,6,7,0,0,5,3,37,+10,37:57,.722,.674,.304,.261,7.4,10.8,9.4,29.0,0.0,0.0,16.3,37.0,128,123,2.5
Jalen Duren,37:13,7,10,.700,0,0,,6,6,1.000,2,13,15,6,0,0,3,4,20,+11,37:13,.791,.700,.000,.600,7.6,35.7,23.9,20.4,0.0,0.0,19.2,19.3,145,119,3.5
Killian Hayes,28:16,3,7,.429,2,4,.500,0,0,,0,4,4,9,0,0,1,2,8,-1,28:16,.571,.571,.571,.000,0.0,14.5,8.4,36.5,0.0,0.0,12.5,13.0,139,122,0.5
Ausar Thompson,27:24,5,6,.833,0,0,,2,2,1.000,1,5,6,2,2,1,2,5,12,+12,27:24,.872,.833,.000,.333,5.2,18.6,13.0,9.2,3.5,3.4,22.5,14.9,139,110,2.7
Mike Muscala,25:23,3,8,.375,3,6,.500,0,0,,0,3,3,0,0,0,0,1,9,+8,25:23,.563,.563,.750,.000,0.0,12.1,7.0,0.0,0.0,0.0,0.0,14.5,106,123,-5.3
Marcus Sasser,32:29,7,14,.500,2,6,.333,2,2,1.000,0,3,3,4,0,0,0,1,18,+16,32:29,.605,.571,.429,.143,0.0,9.4,5.5,16.1,0.0,0.0,0.0,21.0,131,123,-3.2
Alec Burks,28:26,7,12,.583,5,7,.714,6,6,1.000,0,7,7,2,0,0,0,3,25,+12,28:26,.854,.792,.583,.500,0.0,25.1,14.6,9.6,0.0,0.0,0.0,23.6,170,121,8.8
Joe Harris,12:05,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-5,12:05,.333,.333,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,68,124,-13.7
Danilo Gallinari,10:47,1,1,1.000,0,0,,0,0,,1,3,4,2,0,1,0,1,2,+2,10:47,1.000,1.000,.000,.000,13.1,28.4,22.0,20.9,0.0,8.7,0.0,4.3,223,113,8.0
Bojan Bogdanović,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Cade Cunningham,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
James Wiseman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,47,84,.560,17,31,.548,22,22,1.000,6,42,48,32,2,2,11,21,133,,240,.710,.661,.369,.262,17.6,89.4,59.3,68.1,2.0,3.9,10.5,100.0,133.7,120.7,
