Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Vince Williams Jr.,37:19,5,10,.500,2,5,.400,1,1,1.000,0,11,11,8,3,0,1,2,13,-9,37:19,.623,.600,.500,.100,0.0,42.9,17.7,28.9,4.1,0.0,8.7,13.9,136,117,7.0
Santi Aldama,36:46,6,13,.462,3,8,.375,0,0,,1,4,5,2,0,0,2,2,15,-6,36:46,.577,.577,.615,.000,2.8,15.8,8.2,7.6,0.0,0.0,13.3,18.5,103,131,-6.2
Jaren Jackson Jr.,32:06,11,22,.500,4,10,.400,2,5,.400,1,1,2,4,0,1,4,6,28,-8,32:06,.579,.591,.455,.227,3.2,4.5,3.7,23.4,0.0,2.8,14.2,39.9,102,131,-2.6
John Konchar,29:55,2,5,.400,0,3,.000,0,0,,1,2,3,1,0,1,0,2,4,+6,29:55,.400,.400,.600,.000,3.4,9.7,6.0,4.1,0.0,3.0,0.0,7.6,102,130,-8.7
Scotty Pippen Jr.,28:31,6,10,.600,3,4,.750,0,1,.000,1,1,2,6,1,1,1,4,15,-2,28:31,.718,.750,.400,.100,3.6,5.1,4.2,31.7,1.8,3.2,8.7,18.2,144,127,5.8
GG Jackson II,32:25,9,18,.500,4,9,.444,5,6,.833,4,5,9,1,1,0,0,2,27,-13,32:25,.654,.611,.500,.333,12.6,22.4,16.7,5.2,1.6,0.0,0.0,28.9,139,127,7.2
Jacob Gilyard,19:58,3,7,.429,2,6,.333,0,0,,0,0,0,4,1,0,1,1,8,-3,19:58,.571,.571,.857,.000,0.0,0.0,0.0,27.6,2.6,0.0,12.5,18.2,117,128,-1.3
Trey Jemison,15:24,0,4,.000,0,0,,0,0,,1,1,2,0,2,0,0,4,0,-3,15:24,.000,.000,.000,.000,6.6,9.4,7.8,0.0,6.6,0.0,0.0,11.8,23,117,-18.1
Tosan Evbuomwan,7:34,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-2,7:34,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0,125,-17.3
Luke Kennard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Derrick Rose,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Ziaire Williams,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,42,91,.462,18,46,.391,8,13,.615,9,25,34,26,8,4,9,24,110,,240,.569,.560,.505,.143,19.1,75.8,42.5,61.9,8.5,7.5,8.5,100.0,117.3,125.8,
