Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Johnson,39:53,8,11,.727,1,2,.500,4,4,1.000,2,4,6,3,2,2,2,3,21,+10,39:53,.823,.773,.182,.364,4.7,10.0,7.3,11.9,2.3,4.2,13.6,15.4,147,107,6.0
Dejounte Murray,39:52,9,19,.474,4,9,.444,12,15,.800,0,6,6,7,2,1,1,0,34,+8,39:52,.664,.579,.474,.789,0.0,15.1,7.3,28.9,2.3,2.1,3.8,27.8,138,107,12.0
Saddiq Bey,39:17,8,15,.533,4,9,.444,4,4,1.000,2,4,6,3,1,1,1,1,24,+12,39:17,.716,.667,.600,.267,4.8,10.2,7.4,12.1,1.2,2.1,5.6,18.8,141,111,6.9
Trae Young,32:54,6,16,.375,2,9,.222,4,6,.667,0,4,4,8,2,1,4,3,18,-1,32:54,.483,.438,.563,.375,0.0,12.2,5.9,37.4,2.8,2.6,17.7,28.7,95,106,-2.2
Onyeka Okongwu,32:21,4,10,.400,0,1,.000,3,7,.429,3,4,7,1,0,3,1,5,11,+2,32:21,.420,.400,.100,.700,8.7,12.4,10.5,4.4,0.0,7.8,7.1,18.1,95,109,-8.1
Bogdan Bogdanović,30:41,3,12,.250,1,6,.167,1,1,1.000,1,6,7,2,0,0,2,4,8,+13,30:41,.322,.292,.500,.083,3.1,19.6,11.1,8.9,0.0,0.0,13.9,19.6,69,110,-14.6
Kobe Bufkin,15:46,1,4,.250,1,4,.250,0,0,,1,2,3,0,0,0,0,1,3,0,15:46,.375,.375,1.000,.000,6.0,12.7,9.2,0.0,0.0,0.0,0.0,10.6,91,113,-8.0
Garrison Mathews,9:16,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,0,1,3,+1,9:16,1.500,1.500,1.000,.000,0.0,21.6,10.5,14.9,0.0,0.0,0.0,4.5,279,109,6.2
Clint Capela,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
AJ Griffin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
De'Andre Hunter,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Patty Mills,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,40,88,.455,14,41,.341,28,37,.757,9,32,41,25,7,8,11,18,122,,240,.585,.534,.466,.420,17.6,66.7,41.4,62.5,6.7,14.0,9.5,100.0,116.5,107.9,
