Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Precious Achiuwa,43:09,6,6,1.000,1,1,1.000,2,2,1.000,3,3,6,0,2,3,2,2,15,-12,43:09,1.090,1.083,.167,.333,8.3,10.1,9.1,0.0,2.3,6.3,22.5,9.6,169,123,3.4
Donte DiVincenzo,39:25,6,15,.400,2,9,.222,0,1,.000,0,3,3,4,1,1,1,2,14,-9,39:25,.453,.467,.600,.067,0.0,11.1,5.0,14.9,1.3,2.3,6.1,19.4,95,128,-4.8
Jalen Brunson,37:28,14,25,.560,1,5,.200,10,10,1.000,0,3,3,4,1,0,2,2,39,-7,37:28,.663,.580,.200,.400,0.0,11.6,5.3,23.2,1.3,0.0,6.4,39.0,130,130,6.2
Josh Hart,35:54,2,6,.333,0,2,.000,0,0,,1,9,10,5,1,0,1,4,4,-20,35:54,.333,.333,.333,.000,3.3,36.5,18.3,17.9,1.4,0.0,14.3,9.1,94,127,-4.6
Taj Gibson,18:35,0,4,.000,0,0,,0,0,,0,3,3,1,0,0,0,2,0,-1,18:35,.000,.000,.000,.000,0.0,23.5,10.6,6.5,0.0,0.0,0.0,10.0,16,131,-14.7
Bojan Bogdanović,32:58,3,10,.300,2,6,.333,3,4,.750,0,3,3,1,1,0,0,2,11,-10,32:58,.468,.400,.600,.400,0.0,13.2,6.0,4.1,1.5,0.0,0.0,16.6,100,130,-6.0
Alec Burks,21:59,7,14,.500,4,7,.571,4,4,1.000,0,2,2,1,0,0,3,1,22,-4,21:59,.698,.643,.500,.286,0.0,13.2,6.0,8.8,0.0,0.0,16.0,39.7,114,133,1.1
Miles McBride,10:32,2,4,.500,0,2,.000,2,2,1.000,1,1,2,0,1,0,0,0,6,-7,10:32,.615,.500,.500,.500,11.4,13.8,12.5,0.0,4.7,0.0,0.0,21.6,135,123,4.6
Charlie Brown Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Julius Randle,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Jericho Sims,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Jacob Toppin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,84,.476,10,32,.313,21,23,.913,5,27,32,16,7,4,9,15,111,,240,.590,.536,.381,.274,12.5,81.8,43.8,40.0,7.2,7.5,8.7,100.0,114.0,128.4,
