Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Giannis Antetokounmpo,30:24,14,19,.737,0,0,,8,14,.571,4,14,18,5,3,2,2,2,36,+18,30:24,.715,.737,.000,.737,14.0,40.9,28.7,39.7,4.9,5.8,7.4,41.3,141,79,24.7
Malik Beasley,30:23,3,6,.500,3,6,.500,0,0,,1,4,5,1,0,0,0,0,9,+16,30:23,.750,.750,1.000,.000,3.5,11.7,8.0,4.2,0.0,0.0,0.0,9.1,149,104,0.5
Brook Lopez,29:05,3,9,.333,3,7,.429,0,0,,1,4,5,3,0,3,1,2,9,+12,29:05,.500,.500,.778,.000,3.7,12.2,8.3,13.4,0.0,9.2,10.0,15.9,105,98,0.9
Jae Crowder,22:54,1,4,.250,0,2,.000,0,0,,0,1,1,1,2,0,1,0,2,+3,22:54,.250,.250,.500,.000,0.0,3.9,2.1,5.3,4.3,0.0,20.0,10.1,53,98,-6.5
Damian Lillard,22:42,6,15,.400,2,5,.400,4,4,1.000,1,2,3,5,0,0,2,3,18,+12,22:42,.537,.467,.333,.267,4.7,7.8,6.4,36.1,0.0,0.0,10.7,38.2,111,105,-2.5
Bobby Portis,25:21,6,14,.429,1,3,.333,0,0,,1,7,8,3,0,0,3,2,13,+8,25:21,.464,.464,.214,.000,4.2,24.5,15.3,18.5,0.0,0.0,17.6,31.0,85,99,-8.7
Pat Connaughton,22:20,2,2,1.000,1,1,1.000,0,0,,0,5,5,5,1,1,0,0,5,+19,22:20,1.250,1.250,.500,.000,0.0,19.9,10.9,28.5,2.2,4.0,0.0,4.1,243,94,13.4
Patrick Beverley,19:42,2,5,.400,1,2,.500,0,0,,0,1,1,4,1,0,1,4,5,+7,19:42,.500,.500,.400,.000,0.0,4.5,2.5,26.3,2.5,0.0,16.7,14.1,109,101,-2.8
A.J. Green,15:25,3,5,.600,3,5,.600,0,0,,0,0,0,1,0,0,0,2,9,+7,15:25,.900,.900,1.000,.000,0.0,0.0,0.0,9.5,0.0,0.0,0.0,15.0,165,108,5.9
MarJon Beauchamp,6:16,1,2,.500,1,2,.500,0,0,,1,1,2,0,0,0,1,1,3,-3,6:16,.750,.750,1.000,.000,17.0,14.2,15.5,0.0,0.0,0.0,33.3,22.1,98,103,-5.1
Andre Jackson Jr.,5:36,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,0,1,3,-2,5:36,1.500,1.500,1.000,.000,0.0,31.7,17.3,25.6,0.0,0.0,0.0,8.2,277,96,17.2
Thanasis Antetokounmpo,4:54,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,1,2,0,-1,4:54,.000,.000,.000,.000,0.0,0.0,0.0,23.3,10.1,0.0,50.0,18.9,32,85,-14.3
TyTy Washington Jr.,2:46,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5,2:46,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0,109,-24.6
Chris Livingston,2:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-6,2:12,,,,,0.0,40.4,22.0,0.0,0.0,0.0,,0.0,0,93,-3.9
Team Totals,240,42,84,.500,16,34,.471,12,18,.667,9,42,51,30,8,6,12,19,112,,240,.609,.595,.405,.214,20.0,77.8,51.5,71.4,8.2,11.1,11.5,100.0,115.3,97.8,
