Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Deni Avdija,33:56,11,17,.647,1,3,.333,2,6,.333,1,6,7,3,0,1,5,3,25,+1,33:56,.636,.676,.176,.353,2.5,16.3,9.2,14.9,0.0,2.4,20.3,27.3,98,105,2.3
Tyus Jones,33:01,6,13,.462,0,1,.000,2,2,1.000,0,3,3,16,2,0,2,1,14,-14,33:01,.504,.462,.077,.154,0.0,8.4,4.0,65.9,2.6,0.0,12.6,18.1,118,103,7.6
Kyle Kuzma,32:05,9,19,.474,1,7,.143,4,5,.800,0,8,8,0,1,0,4,4,23,-14,32:05,.542,.500,.368,.263,0.0,23.0,11.1,0.0,1.3,0.0,15.9,29.5,89,101,-3.0
Marvin Bagley III,28:04,6,10,.600,0,0,,0,0,,5,8,13,2,1,1,1,3,12,-3,28:04,.600,.600,.000,.000,15.3,26.3,20.6,10.1,1.5,2.9,9.1,14.7,123,98,3.8
Jordan Poole,26:30,1,12,.083,1,6,.167,0,0,,0,6,6,3,3,1,1,4,3,+4,26:30,.125,.125,.500,.000,0.0,20.9,10.1,12.9,4.9,3.0,7.7,18.5,38,92,-7.8
Bilal Coulibaly,30:24,1,10,.100,1,4,.250,1,2,.500,4,3,7,1,0,2,1,2,4,-13,30:24,.184,.150,.400,.200,11.3,9.1,10.2,3.7,0.0,5.3,8.4,14.7,58,105,-8.0
Corey Kispert,24:27,2,11,.182,1,7,.143,0,0,,1,3,4,1,0,0,1,2,5,-10,24:27,.227,.227,.636,.000,3.5,11.3,7.3,4.9,0.0,0.0,8.3,18.5,53,107,-12.9
Landry Shamet,13:54,2,5,.400,2,4,.500,0,0,,0,1,1,0,2,1,0,2,6,+3,13:54,.600,.600,.800,.000,0.0,6.6,3.2,0.0,6.2,5.8,0.0,13.5,116,91,9.4
Richaun Holmes,12:33,5,7,.714,0,0,,0,0,,1,1,2,0,0,1,0,3,10,+2,12:33,.714,.714,.000,.000,6.8,7.4,7.1,0.0,0.0,6.4,0.0,21.0,138,104,6.0
Delon Wright,5:02,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,1,2,+4,5:02,.500,.500,.000,.000,0.0,18.3,8.8,27.7,0.0,0.0,0.0,14.9,116,105,-2.0
Patrick Baldwin Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Johnny Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Anthony Gill,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,106,.415,7,32,.219,9,15,.600,12,40,52,27,9,7,15,25,104,,240,.462,.448,.302,.142,21.4,76.9,48.1,61.4,8.1,11.7,11.8,100.0,93.7,100.9,
