Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Johnson,37:59,9,18,.500,0,5,.000,1,2,.500,5,7,12,0,0,2,2,3,19,-20,37:59,.503,.500,.278,.111,12.9,21.1,16.7,0.0,0.0,4.9,9.6,23.2,102,127,-5.0
Trae Young,34:26,4,12,.333,2,8,.250,2,2,1.000,1,1,2,12,0,0,4,4,12,-15,34:26,.466,.417,.667,.167,2.8,3.3,3.1,55.0,0.0,0.0,23.7,20.7,102,135,-6.2
Saddiq Bey,31:39,5,13,.385,2,5,.400,2,2,1.000,3,1,4,1,0,1,1,0,14,-28,31:39,.504,.462,.385,.154,9.3,3.6,6.7,5.3,0.0,2.9,6.7,19.8,110,133,-2.7
Dejounte Murray,31:39,5,15,.333,1,7,.143,2,3,.667,2,5,7,4,1,2,3,2,13,-28,31:39,.398,.367,.467,.200,6.2,18.1,11.7,21.3,1.6,5.8,15.5,25.7,85,123,-4.1
Bruno Fernando,25:49,2,5,.400,0,0,,2,2,1.000,3,9,12,1,1,1,0,5,6,-21,25:49,.510,.400,.000,.400,11.4,39.8,24.5,5.8,1.9,3.6,0.0,9.6,135,117,-2.8
Bogdan Bogdanović,28:57,4,9,.444,2,5,.400,2,2,1.000,1,4,5,4,1,0,5,1,12,-2,28:57,.607,.556,.556,.222,3.4,15.8,9.1,22.6,1.7,0.0,33.6,21.7,90,127,-4.4
De'Andre Hunter,28:16,6,12,.500,2,4,.500,7,7,1.000,0,3,3,1,1,0,0,4,21,-4,28:16,.696,.583,.333,.583,0.0,12.1,5.6,6.6,1.8,0.0,0.0,22.5,152,128,5.5
Garrison Mathews,16:21,0,3,.000,0,3,.000,0,0,,0,0,0,0,1,0,0,1,0,+5,16:21,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,3.1,0.0,0.0,7.7,0,129,-14.5
Kobe Bufkin,2:27,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,-1,2:27,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,51.6,59,136,-24.9
Vit Krejci,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1,2:27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,136,-10.8
Patty Mills,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Onyeka Okongwu,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,36,89,.404,9,38,.237,18,20,.900,15,30,45,23,5,6,16,20,99,,240,.506,.455,.427,.225,30.6,71.4,49.5,63.9,5.2,11.5,14.1,100.0,103.7,127.8,
