Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,29:36,8,13,.615,1,3,.333,8,8,1.000,1,5,6,6,1,2,5,2,25,+23,29:36,.757,.654,.231,.615,4.0,13.3,9.5,44.2,1.5,5.2,23.2,29.2,123,94,7.5
Grayson Allen,26:33,2,9,.222,1,5,.200,4,4,1.000,0,1,1,6,1,1,1,3,9,+10,26:33,.418,.278,.556,.444,0.0,3.0,1.8,34.6,1.7,2.9,8.5,17.8,104,99,-3.3
Eric Gordon,24:21,4,9,.444,2,6,.333,3,3,1.000,1,0,1,2,2,2,3,1,13,+21,24:21,.630,.556,.667,.333,4.8,0.0,1.9,14.5,3.6,6.4,22.5,22.0,102,95,2.6
Jusuf Nurkić,22:22,2,2,1.000,0,0,,6,10,.600,1,12,13,7,0,2,4,4,10,+19,22:22,.781,1.000,.000,5.000,5.2,42.2,27.4,48.9,0.0,6.9,38.5,18.7,116,83,8.0
Devin Booker,5:24,2,5,.400,1,2,.500,2,2,1.000,1,0,1,1,1,0,1,1,7,+1,5:24,.595,.500,.400,.400,21.7,0.0,8.7,51.6,8.2,0.0,14.5,51.2,111,88,13.6
Saben Lee,23:39,4,9,.444,0,3,.000,8,12,.667,0,6,6,2,4,0,2,0,16,+3,23:39,.560,.444,.333,1.333,0.0,20.0,11.9,15.1,7.5,0.0,12.3,27.7,106,82,3.1
Royce O'Neale,23:30,3,6,.500,3,6,.500,0,0,,0,7,7,3,2,0,1,1,9,+37,23:30,.750,.750,1.000,.000,0.0,23.4,14.0,21.2,3.8,0.0,14.3,12.0,126,88,6.7
Drew Eubanks,18:19,3,8,.375,0,0,,0,0,,3,3,6,0,2,1,2,0,6,+5,18:19,.375,.375,.000,.000,19.2,12.9,15.4,0.0,4.8,4.2,20.0,22.0,75,88,-8.4
Josh Okogie,18:00,0,3,.000,0,2,.000,2,2,1.000,1,1,2,0,1,1,0,1,2,+3,18:00,.258,.000,.667,.667,6.5,4.4,5.2,0.0,2.5,4.3,0.0,8.7,77,97,-6.3
Bol Bol,13:57,4,5,.800,1,1,1.000,0,0,,1,4,5,1,0,2,0,2,9,+3,13:57,.900,.900,.200,.000,8.4,22.6,16.9,16.2,0.0,11.1,0.0,14.4,175,90,11.2
David Roddy,10:16,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,1,1,5,-13,10:16,.833,.833,.667,.000,0.0,7.7,4.6,0.0,0.0,0.0,25.0,15.7,97,103,-4.4
Théo Maledon,9:48,1,2,.500,0,0,,3,3,1.000,0,1,1,0,0,0,3,3,5,-11,9:48,.000,.000,.333,.000,0.0,24.1,14.4,0.0,0.0,0.0,0.0,12.3,0,95,-19.7
Nassir Little,9:48,0,3,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,1,0,-11,9:48,.753,.500,.000,1.500,0.0,8.0,4.8,0.0,0.0,0.0,47.5,25.9,76,101,-20.2
Udoka Azubuike,4:27,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-10,4:27,,,,,0.0,17.7,10.6,0.0,9.9,0.0,,0.0,0,77,4.1
Team Totals,240,35,77,.455,10,31,.323,36,44,.818,9,45,54,28,15,11,23,20,116,,240,.602,.519,.403,.571,22.0,73.8,52.9,80.0,13.8,17.7,19.3,100.0,106.7,92.0,
