Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keyonte George,40:33,11,22,.500,9,16,.563,2,3,.667,0,2,2,6,3,0,2,6,33,+7,40:33,.708,.705,.727,.136,0.0,5.4,2.7,23.7,3.5,0.0,7.9,24.4,142,136,5.6
Lauri Markkanen,33:57,6,23,.261,4,11,.364,4,4,1.000,5,9,14,3,0,0,1,1,20,+8,33:57,.404,.348,.478,.174,15.7,28.9,22.2,12.3,0.0,0.0,3.9,29.6,112,138,-9.9
Collin Sexton,33:52,10,18,.556,3,8,.375,12,13,.923,1,2,3,9,1,1,3,2,35,+15,33:52,.738,.639,.444,.722,3.1,6.4,4.8,44.3,1.4,2.8,11.2,30.8,154,139,10.3
John Collins,30:35,8,14,.571,1,3,.333,1,1,1.000,4,9,13,2,1,1,1,4,18,0,30:35,.623,.607,.214,.071,14.0,32.1,22.9,10.3,1.5,3.1,6.5,19.7,137,132,-1.0
Walker Kessler,25:19,1,2,.500,0,1,.000,2,2,1.000,3,3,6,2,1,1,1,3,4,+1,25:19,.694,.500,.500,1.000,12.6,12.9,12.8,9.2,1.9,3.8,25.8,6.0,151,136,-3.3
Jordan Clarkson,33:19,3,8,.375,1,5,.200,6,7,.857,2,0,2,9,0,0,3,2,13,-12,33:19,.587,.438,.625,.875,6.4,0.0,3.2,33.5,0.0,0.0,21.3,16.5,134,146,-4.6
Kris Dunn,20:57,2,3,.667,2,3,.667,2,2,1.000,1,4,5,1,2,0,3,2,8,-13,20:57,1.031,1.000,1.000,.667,5.1,20.8,12.9,6.0,4.5,0.0,43.6,12.8,108,130,-0.9
Taylor Hendricks,15:59,1,1,1.000,1,1,1.000,0,0,,1,2,3,0,2,0,2,0,3,-12,15:59,1.500,1.500,1.000,.000,6.7,13.7,10.1,0.0,5.9,0.0,66.7,7.3,64,129,-0.7
Talen Horton-Tucker,5:29,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,3,-9,5:29,.750,.750,.500,.000,0.0,0.0,0.0,25.6,0.0,0.0,0.0,14.2,175,145,-2.4
Kira Lewis Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Otto Porter Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luka Šamanić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brice Sensabaugh,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Omer Yurtseven,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,93,.462,22,49,.449,29,32,.906,17,31,48,33,10,3,16,22,137,,240,.640,.581,.527,.344,37.8,70.5,53.9,76.7,9.8,6.0,13.0,100.0,134.2,137.1,
