Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Giannis Antetokounmpo,36:37,15,17,.882,0,0,,5,9,.556,0,4,4,12,0,0,1,5,35,-14,36:37,.835,.882,.000,.529,0.0,13.1,6.2,70.4,0.0,0.0,4.6,25.7,170,121,19.5
Damian Lillard,34:58,7,21,.333,3,13,.231,7,7,1.000,2,3,5,7,1,0,4,2,24,+10,34:58,.498,.405,.619,.333,6.2,10.3,8.2,29.7,1.4,0.0,14.2,34.5,104,118,-2.5
Brook Lopez,34:37,5,14,.357,2,9,.222,2,2,1.000,2,9,11,2,2,4,1,2,14,+8,34:37,.470,.429,.643,.143,6.3,31.2,18.2,7.9,2.8,9.7,6.3,19.7,104,104,1.7
Malik Beasley,29:45,3,10,.300,3,10,.300,0,0,,0,2,2,0,2,0,0,4,9,+4,29:45,.450,.450,1.000,.000,0.0,8.1,3.8,0.0,3.3,0.0,0.0,14.4,95,114,-6.7
Jae Crowder,24:08,2,4,.500,0,2,.000,0,0,,1,4,5,0,1,0,1,2,4,-5,24:08,.500,.500,.500,.000,4.5,19.9,11.8,0.0,2.0,0.0,20.0,8.9,88,115,-8.0
Bobby Portis,24:46,7,12,.583,1,1,1.000,0,0,,3,4,7,2,0,0,2,1,15,0,24:46,.625,.625,.083,.000,13.2,19.4,16.2,13.6,0.0,0.0,14.3,24.3,117,120,-1.0
Pat Connaughton,23:52,1,3,.333,0,1,.000,0,0,,2,3,5,0,2,1,2,1,2,+2,23:52,.333,.333,.333,.000,9.1,15.1,12.0,0.0,4.1,3.5,40.0,9.0,62,109,-6.3
Patrick Beverley,14:13,0,4,.000,0,4,.000,1,2,.500,1,3,4,0,1,0,1,1,1,-16,14:13,.102,.000,1.000,.500,7.7,25.3,16.1,0.0,3.4,0.0,17.0,17.8,33,112,-18.2
A.J. Green,14:05,2,4,.500,2,4,.500,0,0,,0,1,1,1,1,0,1,2,6,0,14:05,.750,.750,1.000,.000,0.0,8.5,4.1,9.7,3.5,0.0,20.0,15.2,117,113,0.6
Andre Jackson Jr.,2:59,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-4,2:59,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0,120,-35.1
Thanasis Antetokounmpo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
MarJon Beauchamp,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris Livingston,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
TyTy Washington Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,90,.467,11,44,.250,15,20,.750,11,33,44,24,10,5,13,22,110,,240,.557,.528,.489,.222,25.0,82.5,52.4,57.1,10.1,8.8,11.6,100.0,111.4,114.5,
