Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ayo Dosunmu,40:40,6,14,.429,2,6,.333,0,0,,1,7,8,8,1,0,2,3,14,-14,40:40,.500,.500,.429,.000,2.7,22.3,11.7,25.6,1.2,0.0,12.5,16.6,111,131,-1.2
DeMar DeRozan,35:40,7,17,.412,1,3,.333,4,4,1.000,1,3,4,5,1,0,2,2,19,-5,35:40,.506,.441,.176,.235,3.1,10.9,6.6,19.5,1.4,0.0,9.6,24.5,109,132,-2.8
Coby White,35:10,6,17,.353,4,9,.444,4,4,1.000,0,2,2,4,1,0,2,5,20,-26,35:10,.533,.471,.529,.235,0.0,7.4,3.4,15.2,1.4,0.0,9.6,24.8,110,132,-3.1
Nikola Vučević,34:38,10,19,.526,0,3,.000,2,2,1.000,5,9,14,2,0,0,4,2,22,-18,34:38,.553,.526,.158,.105,15.7,33.7,24.0,9.2,0.0,0.0,16.8,29.0,104,133,-4.6
Alex Caruso,29:43,5,9,.556,2,4,.500,0,0,,0,3,3,5,2,1,3,3,12,-12,29:43,.667,.667,.444,.000,0.0,13.1,6.0,22.5,3.3,4.5,25.0,17.0,107,124,2.9
Julian Phillips,17:45,4,5,.800,1,1,1.000,0,0,,0,2,2,1,0,0,0,1,9,-5,17:45,.900,.900,.200,.000,0.0,14.6,6.7,8.1,0.0,0.0,0.0,11.9,178,135,5.1
Andre Drummond,17:23,4,8,.500,0,0,,3,4,.750,4,4,8,0,0,1,0,0,11,-11,17:23,.564,.500,.000,.500,25.1,29.9,27.3,0.0,0.0,7.7,0.0,23.6,135,129,1.7
Jevon Carter,12:05,1,2,.500,0,1,.000,0,0,,0,1,1,2,0,0,0,1,2,+4,12:05,.500,.500,.500,.000,0.0,10.7,4.9,19.8,0.0,0.0,0.0,7.0,136,136,-4.1
Dalen Terry,11:50,1,1,1.000,0,0,,1,2,.500,2,1,3,2,1,0,0,0,3,+2,11:50,.798,1.000,.000,2.000,18.4,11.0,15.0,20.3,4.1,0.0,0.0,6.7,186,126,11.0
Onuralp Bitim,2:33,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,2:33,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,137,-40.5
Terry Taylor,2:33,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0,2:33,,,,,0.0,0.0,0.0,42.8,0.0,0.0,,0.0,223,137,8.9
Torrey Craig,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,44,94,.468,10,28,.357,14,16,.875,13,32,45,30,6,2,13,17,112,,240,.554,.521,.298,.170,29.5,86.5,55.6,68.2,6.1,5.6,11.4,100.0,114.0,131.3,
