Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Fred VanVleet,30:26,2,8,.250,2,6,.333,1,2,.500,1,2,3,6,2,0,4,3,7,-21,30:26,.394,.375,.750,.250,3.4,7.7,5.4,28.8,3.0,0.0,31.1,17.5,81,121,-7.3
Dillon Brooks,27:18,2,6,.333,2,5,.400,1,2,.500,0,2,2,2,0,0,0,3,7,-8,27:18,.509,.500,.833,.333,0.0,8.6,4.0,10.8,0.0,0.0,0.0,10.4,118,127,-4.8
Alperen Sengun,27:08,6,9,.667,1,1,1.000,7,10,.700,2,7,9,2,1,0,3,3,20,-15,27:08,.746,.722,.111,1.111,7.7,30.2,18.3,13.9,1.7,0.0,18.3,24.9,125,119,4.3
Jabari Smith Jr.,26:38,3,5,.600,2,2,1.000,1,2,.500,1,3,4,1,0,0,2,1,9,-20,26:38,.765,.800,.400,.400,3.9,13.2,8.3,5.9,0.0,0.0,25.4,12.2,108,127,-2.5
Jalen Green,23:38,3,14,.214,2,8,.250,2,2,1.000,1,3,4,2,1,0,1,1,10,-17,23:38,.336,.286,.571,.143,4.4,14.9,9.3,13.6,2.0,0.0,6.3,27.7,80,122,-8.7
Amen Thompson,27:35,9,13,.692,1,3,.333,3,5,.600,2,3,5,4,0,3,3,1,22,-5,27:35,.724,.731,.231,.385,7.6,12.7,10.0,34.2,0.0,9.5,16.5,27.2,124,120,10.7
Cam Whitmore,24:27,5,11,.455,2,8,.250,1,3,.333,1,3,4,0,0,2,2,1,13,-10,24:27,.528,.545,.727,.273,4.3,14.4,9.0,0.0,0.0,7.1,14.0,24.2,88,121,-3.6
Jae'Sean Tate,12:00,2,3,.667,0,1,.000,0,0,,0,5,5,2,1,0,4,2,4,0,12:00,1.000,1.000,.000,.000,8.7,19.5,13.8,37.5,3.9,0.0,0.0,3.4,223,117,11.1
Jock Landale,12:00,1,1,1.000,0,0,,0,0,,1,2,3,3,1,0,0,1,2,0,12:00,.667,.667,.333,.000,0.0,48.8,23.0,28.6,3.9,0.0,57.1,24.1,61,111,-7.5
Reggie Bullock,9:53,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,+4,9:53,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,101,129,-6.7
Jeff Green,9:07,2,6,.333,2,3,.667,2,2,1.000,2,1,3,3,0,0,0,1,8,-7,9:07,.581,.500,.500,.333,22.9,12.8,18.2,62.0,0.0,0.0,0.0,31.1,149,126,18.0
Aaron Holiday,7:44,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,2,0,0,-10,7:44,.000,.000,.333,.000,0.0,15.1,7.1,17.2,0.0,0.0,40.0,26.7,14,127,-29.9
Jeenathan Williams,2:06,0,0,,0,0,,0,0,,1,0,1,1,0,0,1,0,0,-1,2:06,,,,,49.7,0.0,26.3,63.5,0.0,0.0,100.0,19.7,79,129,-3.0
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,82,.439,15,41,.366,18,28,.643,12,32,44,27,6,5,22,18,105,,240,.557,.530,.500,.341,26.1,78.0,50.6,75.0,5.8,9.1,18.9,100.0,101.1,122.3,
