Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
D'Angelo Russell,33:40,6,15,.400,3,9,.333,3,4,.750,0,5,5,9,2,0,3,3,18,-12,33:40,.537,.500,.600,.267,0.0,15.5,8.0,37.3,2.9,0.0,15.2,26.0,109,126,-0.2
Anthony Davis,32:31,11,19,.579,0,2,.000,5,6,.833,3,12,15,1,0,3,3,3,27,-16,32:31,.624,.579,.105,.316,10.3,38.5,24.9,5.5,0.0,6.7,12.2,33.6,114,120,0.3
Rui Hachimura,32:00,3,8,.375,1,4,.250,1,2,.500,1,3,4,1,1,2,1,1,8,-28,32:00,.450,.438,.500,.250,3.5,9.8,6.7,3.9,1.5,4.5,10.1,13.7,92,129,-6.1
Taurean Prince,31:53,5,10,.500,2,7,.286,0,0,,0,3,3,2,1,0,1,0,12,-7,31:53,.600,.600,.700,.000,0.0,9.8,5.1,8.5,1.5,0.0,9.1,15.3,111,132,-3.2
Austin Reaves,27:15,7,11,.636,2,5,.400,0,0,,0,2,2,4,0,1,2,2,16,-18,27:15,.727,.727,.455,.000,0.0,7.7,4.0,23.0,0.0,2.7,15.4,21.2,123,134,0.7
Max Christie,28:46,3,8,.375,1,5,.200,2,2,1.000,2,1,3,6,1,1,0,0,9,-5,28:46,.507,.438,.625,.250,7.8,3.6,5.6,26.4,1.7,2.5,0.0,13.7,137,132,4.2
Jaxson Hayes,18:22,3,6,.500,0,0,,1,4,.250,4,3,7,1,0,1,0,2,7,-7,18:22,.451,.500,.000,.667,24.3,17.0,20.6,7.4,0.0,4.0,0.0,18.7,118,130,-5.4
Spencer Dinwiddie,17:57,2,6,.333,0,1,.000,1,1,1.000,0,0,0,3,0,1,0,5,5,+6,17:57,.388,.333,.167,.167,0.0,0.0,0.0,21.3,0.0,4.1,0.0,15.9,104,136,-10.2
Jalen Hood-Schifino,5:52,1,3,.333,1,2,.500,1,2,.500,0,1,1,0,0,0,1,1,4,-1,5:52,.515,.500,.667,.667,0.0,17.8,9.2,0.0,0.0,0.0,20.5,36.9,79,132,-16.3
Skylar Mays,5:52,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-1,5:52,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,200,139,0.1
Dylan Windler,5:52,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-1,5:52,,,,,0.0,17.8,9.2,19.0,0.0,0.0,,0.0,223,132,-4.6
Colin Castleton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,88,.489,10,35,.286,14,21,.667,10,31,41,28,5,9,11,18,110,,240,.566,.545,.398,.239,23.3,67.4,46.1,65.1,5.1,13.6,10.2,100.0,111.2,129.3,
