Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Hart,44:13,7,13,.538,2,5,.400,2,2,1.000,1,11,12,3,0,1,3,2,18,+13,44:13,.648,.615,.385,.154,2.5,29.9,15.7,10.7,0.0,2.0,17.8,17.3,115,103,-1.1
Jalen Brunson,39:23,5,18,.278,0,4,.000,11,11,1.000,0,2,2,12,2,1,7,2,21,+20,39:23,.460,.278,.222,.611,0.0,6.1,2.9,45.8,2.5,2.2,23.5,34.3,99,102,-5.2
Precious Achiuwa,38:13,7,9,.778,1,2,.500,3,7,.429,4,7,11,2,2,1,2,3,18,+15,38:13,.745,.833,.222,.778,11.7,22.0,16.6,8.6,2.6,2.3,14.2,16.7,135,98,4.3
Donte DiVincenzo,34:38,6,15,.400,4,11,.364,0,0,,0,3,3,3,2,2,2,1,16,+13,34:38,.533,.533,.733,.000,0.0,10.4,5.0,14.0,2.9,5.0,11.8,22.3,103,98,2.0
Isaiah Hartenstein,10:48,0,0,,0,0,,0,0,,1,1,2,0,1,0,0,0,0,-2,10:48,,,,,10.3,11.1,10.7,0.0,4.6,0.0,,0.0,230,98,-1.9
Bojan Bogdanović,23:33,8,13,.615,6,6,1.000,0,2,.000,0,2,2,0,3,0,0,3,22,+3,23:33,.793,.846,.462,.154,0.0,10.2,4.9,0.0,6.4,0.0,0.0,26.7,143,94,17.3
Jericho Sims,18:01,1,2,.500,0,0,,2,2,1.000,5,5,10,2,0,1,0,2,4,+5,18:01,.694,.500,.000,1.000,31.0,33.3,32.1,15.1,0.0,4.8,0.0,7.2,192,100,6.7
Miles McBride,17:07,2,4,.500,0,2,.000,0,0,,1,1,2,1,1,0,0,0,4,+2,17:07,.500,.500,.500,.000,6.5,7.0,6.8,8.7,2.9,0.0,0.0,10.6,126,102,-1.2
Alec Burks,13:22,2,5,.400,2,4,.500,1,3,.333,0,1,1,1,0,0,1,0,7,+1,13:22,.554,.600,.800,.600,0.0,9.0,4.3,11.7,0.0,0.0,13.7,24.8,100,109,-3.7
DaQuan Jeffries,0:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0:21,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110,-7.1
Jacob Toppin,0:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0:21,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110,-7.7
Charlie Brown Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,79,.481,15,34,.441,19,27,.704,12,33,45,24,11,6,15,13,110,,240,.605,.576,.430,.342,27.9,82.5,54.2,63.2,11.5,10.9,14.2,100.0,115.0,100.3,
