Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,33:37,4,15,.267,2,4,.500,2,2,1.000,2,4,6,4,0,0,4,5,12,-7,33:37,.378,.333,.267,.133,7.9,19.0,13.0,15.3,0.0,0.0,20.1,27.1,83,125,-14.4
Franz Wagner,31:47,6,11,.545,1,4,.250,1,1,1.000,0,4,4,4,1,0,3,1,14,-12,31:47,.612,.591,.364,.091,0.0,20.1,9.2,17.8,1.7,0.0,20.8,20.8,107,121,-1.7
Gary Harris,28:56,2,4,.500,2,2,1.000,2,2,1.000,0,0,0,3,3,0,1,3,8,-10,28:56,.820,.750,.500,.500,0.0,0.0,0.0,12.5,5.5,0.0,17.0,9.3,150,115,5.9
Wendell Carter Jr.,23:08,5,7,.714,2,3,.667,0,0,,0,2,2,1,0,0,1,2,12,-11,23:08,.857,.857,.429,.000,0.0,13.8,6.3,6.4,0.0,0.0,12.5,15.8,142,125,2.6
Jalen Suggs,18:08,3,8,.375,1,4,.250,0,0,,0,1,1,3,1,0,0,1,7,-12,18:08,.438,.438,.500,.000,0.0,8.8,4.0,22.7,2.9,0.0,0.0,20.2,113,120,-0.9
Moritz Wagner,24:43,7,12,.583,1,1,1.000,7,8,.875,2,5,7,0,1,0,0,4,22,+18,24:43,.709,.625,.083,.667,10.8,32.4,20.6,0.0,2.1,0.0,0.0,28.7,154,118,6.5
Anthony Black,23:43,3,7,.429,1,2,.500,2,2,1.000,1,2,3,2,0,0,1,1,9,+21,23:43,.571,.500,.286,.286,5.6,13.5,9.2,11.0,0.0,0.0,11.3,17.1,121,126,-2.9
Cole Anthony,19:06,6,8,.750,1,1,1.000,0,0,,0,2,2,6,1,1,1,4,13,+8,19:06,.813,.813,.125,.000,0.0,16.8,7.6,54.0,2.8,5.2,11.1,21.6,159,115,17.6
Jonathan Isaac,18:52,3,8,.375,0,1,.000,1,2,.500,5,2,7,1,0,2,1,0,7,+17,18:52,.394,.375,.125,.250,35.3,17.0,27.0,7.2,0.0,10.6,10.1,24.0,108,118,-5.3
Joe Ingles,18:00,4,4,1.000,3,3,1.000,1,1,1.000,0,1,1,2,1,0,1,2,12,+23,18:00,1.351,1.375,.750,.250,0.0,8.9,4.0,16.5,2.9,0.0,18.4,13.8,198,119,16.8
Goga Bitadze,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chuma Okeke,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,84,.512,14,25,.560,16,18,.889,10,23,33,26,8,3,13,23,116,,240,.631,.595,.298,.214,27.8,76.7,50.0,60.5,8.8,6.3,12.4,100.0,127.7,120.0,
