Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Jokić,31:23,10,10,1.000,0,0,,1,2,.500,2,17,19,15,1,0,3,3,21,+23,31:23,.965,1.000,.000,.200,7.8,42.6,29.1,56.4,1.4,0.0,21.6,17.2,161,93,19.6
Jamal Murray,31:16,9,17,.529,0,3,.000,0,0,,0,4,4,8,3,2,1,1,18,+16,31:16,.529,.529,.176,.000,0.0,10.1,6.1,29.1,4.2,4.7,5.6,22.4,122,97,5.2
Michael Porter Jr.,30:41,9,16,.563,2,7,.286,2,2,1.000,5,6,11,2,0,0,2,2,22,+10,30:41,.652,.625,.438,.125,20.1,15.4,17.2,7.5,0.0,0.0,10.6,23.9,130,107,-1.0
Aaron Gordon,21:29,7,12,.583,0,2,.000,3,3,1.000,0,2,2,4,1,0,3,4,17,+20,21:29,.638,.583,.167,.250,0.0,7.3,4.5,22.1,2.0,0.0,18.4,29.5,113,105,-3.3
Kentavious Caldwell-Pope,15:52,0,6,.000,0,3,.000,0,0,,0,2,2,1,0,0,0,0,0,+17,15:52,.000,.000,.500,.000,0.0,9.9,6.1,5.4,0.0,0.0,0.0,14.7,15,110,-22.6
Christian Braun,23:07,5,8,.625,1,2,.500,1,3,.333,4,6,10,1,2,0,1,2,12,+10,23:07,.644,.688,.250,.375,21.3,20.4,20.8,4.6,3.8,0.0,9.7,17.3,129,96,1.9
Peyton Watson,22:09,3,5,.600,1,1,1.000,4,5,.800,2,3,5,1,1,4,4,1,11,+4,22:09,.764,.700,.200,1.000,11.1,10.7,10.8,4.4,2.0,13.1,35.7,19.6,103,96,1.9
Reggie Jackson,21:38,5,14,.357,1,7,.143,0,0,,0,1,1,5,1,0,2,1,11,+21,21:38,.393,.393,.500,.000,0.0,3.6,2.2,24.7,2.0,0.0,12.5,28.7,90,108,-10.8
Zeke Nnaji,16:37,4,5,.800,0,1,.000,0,0,,0,3,3,1,0,4,0,0,8,-3,16:37,.800,.800,.200,.000,0.0,14.2,8.7,6.5,0.0,17.5,0.0,11.7,163,96,9.0
Justin Holiday,15:12,3,5,.600,2,3,.667,0,0,,0,1,1,2,2,1,0,0,8,-8,15:12,.800,.800,.600,.000,0.0,5.2,3.2,13.6,5.8,4.8,0.0,12.8,167,96,14.2
Jay Huff,4:22,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,2,2,-4,4:22,.500,.500,.500,.000,0.0,36.0,22.0,0.0,0.0,0.0,0.0,17.8,106,95,-14.5
Julian Strawther,4:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3,4:11,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0,114,-19.2
Jalen Pickett,2:03,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3,2:03,,,,,0.0,0.0,0.0,41.8,0.0,0.0,,0.0,213,114,3.1
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Braxton Key,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,56,101,.554,7,31,.226,11,15,.733,13,47,60,41,11,11,16,16,130,,240,.604,.589,.307,.149,33.3,77.0,60.0,73.2,10.1,16.7,12.9,100.0,119.0,100.7,
