Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,38:01,10,22,.455,1,7,.143,7,10,.700,0,11,11,8,1,2,2,3,28,+5,38:01,.530,.477,.318,.455,0.0,24.8,12.4,39.8,1.3,5.3,7.0,29.8,116,108,8.5
Devin Booker,36:14,7,24,.292,0,4,.000,11,11,1.000,1,4,5,2,1,1,1,3,25,-15,36:14,.433,.292,.167,.458,2.4,9.5,5.9,9.2,1.3,2.8,3.4,32.8,103,117,-3.5
Grayson Allen,35:49,4,9,.444,3,7,.429,4,6,.667,2,4,6,6,2,2,0,3,15,+16,35:49,.644,.611,.778,.667,4.8,9.6,7.2,24.6,2.7,5.6,0.0,13.0,154,113,9.8
Eric Gordon,30:23,2,8,.250,1,5,.200,0,0,,0,2,2,2,1,0,1,0,5,-15,30:23,.313,.313,.625,.000,0.0,5.6,2.8,9.1,1.6,0.0,11.1,11.8,72,120,-8.9
Drew Eubanks,25:21,3,5,.600,0,0,,3,4,.750,1,4,5,1,1,2,1,2,9,0,25:21,.666,.600,.000,.800,3.4,13.5,8.5,5.9,1.9,7.9,12.9,12.2,127,111,0.8
Bol Bol,26:31,11,17,.647,2,3,.667,1,2,.500,6,8,14,0,1,1,1,4,25,+3,26:31,.699,.706,.176,.118,19.4,25.9,22.6,0.0,1.8,3.8,5.3,28.4,138,107,10.8
Thaddeus Young,18:53,1,3,.333,0,0,,0,0,,6,2,8,0,1,0,1,4,2,-1,18:53,.333,.333,.000,.000,27.2,9.1,18.2,0.0,2.5,0.0,25.0,8.4,106,115,-8.9
Royce O'Neale,17:01,0,5,.000,0,4,.000,1,2,.500,2,2,4,1,1,0,1,1,1,-23,17:01,.085,.000,.800,.400,10.1,10.1,10.1,7.4,2.8,0.0,14.5,16.1,44,115,-14.5
Josh Okogie,11:47,0,2,.000,0,1,.000,0,0,,1,2,3,3,1,0,2,0,0,+10,11:47,.000,.000,.500,.000,7.3,14.5,10.9,32.2,4.1,0.0,50.0,13.5,45,110,-5.9
Udoka Azubuike,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Saben Lee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nassir Little,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Théo Maledon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,95,.400,7,31,.226,27,35,.771,19,39,58,23,10,8,10,20,110,,240,.498,.437,.326,.368,33.9,69.6,51.8,60.5,10.0,16.7,8.3,100.0,109.6,113.6,
