Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,29:39,10,17,.588,1,3,.333,9,9,1.000,0,7,7,9,1,1,1,3,30,+38,29:39,.716,.618,.176,.529,0.0,17.7,11.4,37.5,1.5,2.5,4.6,30.6,158,95,11.6
Luguentz Dort,23:12,3,6,.500,3,4,.750,0,0,,0,0,0,0,2,0,0,3,9,+28,23:12,.750,.750,.667,.000,0.0,0.0,0.0,0.0,3.8,0.0,0.0,10.7,147,100,2.1
Chet Holmgren,23:04,11,14,.786,2,5,.400,1,2,.500,1,9,10,0,0,2,3,2,25,+6,23:04,.840,.857,.357,.143,5.9,29.3,21.0,0.0,0.0,6.3,16.8,32.0,127,91,5.7
Josh Giddey,21:31,5,8,.625,1,2,.500,1,2,.500,2,5,7,3,1,2,3,0,12,+22,21:31,.676,.688,.250,.250,12.7,17.4,15.8,15.3,2.1,6.8,25.3,22.8,118,92,5.2
Jalen Williams,19:47,5,7,.714,1,2,.500,0,1,.000,0,2,2,5,0,1,1,4,11,+6,19:47,.739,.786,.286,.143,0.0,7.6,4.9,28.3,0.0,3.7,11.8,17.6,148,102,3.4
Cason Wallace,22:00,5,7,.714,3,5,.600,0,0,,2,3,5,1,0,0,1,2,13,+12,22:00,.929,.929,.714,.000,12.5,10.2,11.0,4.9,0.0,0.0,12.5,15.0,163,103,5.0
Isaiah Joe,20:06,3,6,.500,2,5,.400,0,0,,0,2,2,5,1,1,0,1,8,+34,20:06,.667,.667,.833,.000,0.0,7.5,4.8,25.0,2.2,3.6,0.0,12.3,163,98,10.3
Jaylin Williams,16:19,2,4,.500,2,3,.667,1,2,.500,1,7,8,3,0,1,1,2,7,+32,16:19,.717,.750,.750,.500,8.4,32.2,23.8,18.0,0.0,4.5,17.0,14.9,143,91,8.0
Aaron Wiggins,15:15,4,5,.800,1,1,1.000,3,3,1.000,1,2,3,1,0,0,3,1,12,0,15:15,.949,.900,.200,.600,9.0,9.8,9.5,7.4,0.0,0.0,32.2,25.2,128,104,0.5
Gordon Hayward,14:39,3,7,.429,0,0,,2,2,1.000,1,5,6,1,0,0,0,0,8,+3,14:39,.508,.429,.000,.286,9.4,25.6,19.9,7.3,0.0,0.0,0.0,22.2,123,97,-4.8
Kenrich Williams,14:26,4,6,.667,4,6,.667,0,0,,0,2,2,1,0,0,1,2,12,+17,14:26,1.000,1.000,1.000,.000,0.0,10.4,6.7,8.0,0.0,0.0,14.3,20.0,157,103,9.6
Bismack Biyombo,8:08,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,1,0,+5,8:08,,,,,0.0,9.2,6.0,0.0,0.0,8.9,100.0,5.1,0,98,-6.3
Keyontae Johnson,6:24,0,2,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,1,0,+2,6:24,.000,.000,.500,.000,0.0,35.2,22.7,0.0,0.0,0.0,0.0,12.9,0,93,-19.0
Adam Flagler,5:30,0,3,.000,0,3,.000,0,0,,0,0,0,1,0,0,0,0,0,0,5:30,.000,.000,1.000,.000,0.0,0.0,0.0,15.9,0.0,0.0,0.0,22.5,31,108,-26.8
Olivier Sarr,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,55,92,.598,20,40,.500,17,21,.810,8,48,56,30,5,9,15,22,147,,240,.726,.707,.435,.228,22.9,75.0,56.6,54.5,4.6,13.6,12.9,100.0,136.2,98.2,
