Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Ingram,38:39,7,16,.438,2,6,.333,6,8,.750,0,3,3,6,3,1,9,1,22,0,38:39,.564,.500,.375,.500,0.0,7.6,3.8,23.8,3.8,2.3,31.6,31.3,86,112,-2.6
Herbert Jones,38:30,5,10,.500,4,6,.667,1,2,.500,2,1,3,6,0,1,0,4,15,+10,38:30,.689,.700,.600,.200,5.1,2.5,3.8,22.2,0.0,2.3,0.0,12.0,158,122,5.4
Trey Murphy III,36:51,3,11,.273,3,9,.333,0,0,,0,10,10,2,1,1,0,1,9,+5,36:51,.409,.409,.818,.000,0.0,26.6,13.3,7.2,1.3,2.4,0.0,12.7,96,111,-1.8
Zion Williamson,32:55,9,15,.600,0,0,,1,2,.500,1,7,8,11,0,2,3,2,19,+6,32:55,.598,.600,.000,.133,3.0,20.8,11.9,59.7,0.0,5.3,15.9,24.3,125,114,9.3
Jonas Valančiūnas,28:21,7,15,.467,0,3,.000,0,0,,7,10,17,0,0,1,0,2,14,+19,28:21,.467,.467,.200,.000,24.2,34.6,29.4,0.0,0.0,3.1,0.0,22.4,115,111,-3.1
Matt Ryan,19:22,5,10,.500,4,9,.444,0,0,,0,4,4,0,0,0,1,3,14,-14,19:22,.700,.700,.900,.000,0.0,20.2,10.1,0.0,0.0,0.0,9.1,24.1,116,118,1.8
Larry Nance Jr.,19:10,0,2,.000,0,1,.000,2,2,1.000,2,1,3,0,0,0,4,2,2,-24,19:10,.347,.000,.500,1.000,10.2,5.1,7.7,0.0,0.0,0.0,58.1,15.2,46,123,-19.1
Jordan Hawkins,15:01,3,7,.429,2,5,.400,0,0,,0,1,1,0,0,0,1,1,8,-21,15:01,.571,.571,.714,.000,0.0,6.5,3.3,0.0,0.0,0.0,12.5,22.6,94,123,-5.5
Jeremiah Robinson-Earl,11:11,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,1,1,1,3,-21,11:11,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,4.3,7.8,33.3,11.4,85,110,1.2
Jose Alvarado,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
