Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Deandre Ayton,37:15,11,16,.688,0,0,,4,4,1.000,3,16,19,2,1,1,2,1,26,-8,37:15,.732,.688,.000,.250,6.6,54.3,25.2,13.7,1.4,2.5,10.1,21.8,141,99,13.2
Anfernee Simons,34:52,4,21,.190,0,8,.000,2,2,1.000,0,4,4,0,0,0,4,3,10,-21,34:52,.229,.190,.381,.095,0.0,14.5,5.7,0.0,0.0,0.0,15.5,30.4,48,108,-22.4
Kris Murray,32:45,2,9,.222,0,4,.000,2,4,.500,6,3,9,4,2,0,2,4,6,-7,32:45,.279,.222,.444,.444,14.9,11.6,13.6,19.5,3.2,0.0,15.7,16.0,78,102,-4.5
Jerami Grant,31:53,6,18,.333,1,6,.167,2,2,1.000,0,2,2,5,2,0,5,0,15,-13,31:53,.397,.361,.333,.111,0.0,7.9,3.1,31.4,3.3,0.0,20.9,30.7,78,102,-3.4
Toumani Camara,18:29,0,4,.000,0,3,.000,0,0,,2,1,3,1,0,0,0,1,0,-6,18:29,.000,.000,.750,.000,8.8,6.8,8.0,7.9,0.0,0.0,0.0,8.9,34,109,-13.9
Matisse Thybulle,30:37,0,3,.000,0,2,.000,0,0,,0,4,4,0,6,2,0,1,0,-13,30:37,.000,.000,.667,.000,0.0,16.5,6.5,0.0,10.3,6.1,0.0,4.0,0,81,2.8
Jabari Walker,18:14,3,8,.375,0,3,.000,0,0,,4,1,5,0,0,0,1,1,6,-7,18:14,.375,.375,.375,.000,17.8,6.9,13.6,0.0,0.0,0.0,11.1,20.2,87,109,-10.1
Duop Reath,12:56,3,5,.600,1,3,.333,0,0,,0,1,1,0,0,1,0,3,7,-9,12:56,.700,.700,.600,.000,0.0,9.8,3.8,0.0,0.0,7.3,0.0,15.9,150,101,2.7
Ashton Hagans,11:14,1,4,.250,0,0,,1,2,.500,3,0,3,1,0,0,1,2,3,+8,11:14,.307,.250,.000,.500,21.7,0.0,13.2,14.9,0.0,0.0,17.0,21.5,78,109,-10.2
Dalano Banton,8:38,3,6,.500,1,2,.500,0,2,.000,4,2,6,0,0,0,0,0,7,+3,8:38,.509,.583,.333,.333,37.7,29.3,34.4,0.0,0.0,0.0,0.0,32.7,116,107,18.5
Justin Minaya,3:07,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+8,3:07,.000,.000,1.000,.000,0.0,0.0,0.0,46.7,0.0,0.0,0.0,13.2,46,110,-6.1
Malcolm Brogdon,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,33,95,.347,3,32,.094,11,16,.688,22,34,56,14,11,4,15,16,80,,240,.392,.363,.337,.168,37.3,89.5,57.7,42.4,12.0,7.8,12.8,100.0,87.3,101.5,
