Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,41:16,17,29,.586,6,11,.545,5,5,1.000,0,9,9,14,3,0,1,1,45,+13,41:16,.721,.690,.379,.172,0.0,26.2,12.6,57.7,3.6,0.0,3.1,36.5,151,122,23.6
Kyrie Irving,38:49,12,24,.500,5,8,.625,1,1,1.000,1,5,6,3,1,1,3,1,30,-8,38:49,.614,.604,.333,.042,2.9,15.5,8.9,11.2,1.3,2.9,10.9,33.1,110,127,0.6
P.J. Washington,35:26,5,8,.625,1,3,.333,0,1,.000,0,2,2,2,3,1,0,2,11,+17,35:26,.652,.688,.375,.125,0.0,6.8,3.3,6.6,4.2,3.2,0.0,11.1,133,122,1.2
Josh Green,28:58,3,8,.375,1,5,.200,0,0,,0,1,1,1,4,0,0,1,7,-11,28:58,.438,.438,.625,.000,0.0,4.1,2.0,3.9,6.9,0.0,0.0,12.9,92,118,-2.6
Dereck Lively II,22:09,4,4,1.000,0,0,,1,4,.250,2,4,6,0,0,2,0,1,9,-5,22:09,.781,1.000,.000,1.000,10.1,21.7,15.7,0.0,0.0,10.1,0.0,12.2,163,124,-0.2
Maxi Kleber,26:48,1,3,.333,1,2,.500,1,2,.500,1,6,7,1,0,1,0,2,4,-3,26:48,.515,.500,.667,.667,4.2,26.9,15.1,3.9,0.0,4.2,0.0,6.8,126,127,-5.0
Tim Hardaway Jr.,26:16,2,5,.400,0,1,.000,0,0,,1,2,3,1,0,1,0,1,4,+10,26:16,.400,.400,.200,.000,4.2,9.1,6.6,4.1,0.0,4.2,0.0,8.9,101,131,-8.5
Derrick Jones Jr.,8:32,1,3,.333,0,1,.000,1,2,.500,0,0,0,0,0,0,1,0,3,-5,8:32,.387,.333,.333,.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,26.8,61,136,-21.2
Daniel Gafford,6:51,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,2,4,-7,6:51,.667,.667,.000,.000,0.0,35.0,16.9,0.0,0.0,0.0,0.0,20.5,126,127,-8.0
Jaden Hardy,4:55,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,0,1,2,-11,4:55,.250,.250,.500,.000,0.0,0.0,0.0,25.5,0.0,0.0,0.0,38.1,65,134,-25.3
Markieff Morris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dwight Powell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,91,.527,14,33,.424,9,15,.600,5,31,36,23,11,6,5,12,119,,240,.610,.604,.363,.165,11.6,77.5,43.4,47.9,11.4,14.0,4.9,100.0,123.0,125.1,
