Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyle Kuzma,37:47,12,21,.571,1,4,.250,2,2,1.000,1,11,12,2,0,1,6,0,27,-16,37:47,.617,.595,.190,.095,2.8,35.8,17.9,8.3,0.0,2.6,21.5,30.2,94,116,-3.2
Tyus Jones,36:23,6,11,.545,1,4,.250,1,1,1.000,1,5,6,17,2,0,1,0,14,+5,36:23,.612,.591,.364,.091,2.9,16.9,9.3,58.9,2.5,0.0,8.0,14.0,152,115,9.4
Corey Kispert,33:22,8,15,.533,4,9,.444,0,1,.000,0,3,3,5,0,2,3,2,20,+1,33:22,.648,.667,.600,.067,0.0,11.1,5.1,20.9,0.0,6.0,16.3,22.6,109,119,3.1
Marvin Bagley III,32:56,8,11,.727,1,1,1.000,3,3,1.000,3,6,9,2,1,2,1,2,20,+8,32:56,.812,.773,.091,.273,9.5,22.4,15.4,8.5,1.4,6.1,7.5,16.5,155,113,7.6
Landry Shamet,32:10,6,13,.462,3,9,.333,1,1,1.000,0,0,0,1,0,0,0,2,16,-6,32:10,.595,.577,.692,.077,0.0,0.0,0.0,4.0,0.0,0.0,0.0,17.1,120,125,-3.5
Jordan Poole,29:22,5,17,.294,2,8,.250,0,0,,1,2,3,5,2,0,6,3,12,+8,29:22,.353,.353,.471,.000,3.6,8.4,5.8,21.6,3.1,0.0,26.1,32.0,66,115,-13.9
Richaun Holmes,11:47,0,3,.000,0,0,,1,2,.500,2,1,3,0,0,0,0,0,1,-16,11:47,.129,.000,.000,.667,17.7,10.4,14.4,0.0,0.0,0.0,0.0,13.5,63,123,-15.3
Jared Butler,10:50,1,1,1.000,0,0,,0,0,,1,0,1,2,0,0,3,2,2,-16,10:50,1.000,1.000,.000,.000,9.6,0.0,5.2,21.3,0.0,0.0,75.0,15.1,70,124,-14.9
Johnny Davis,7:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-13,7:54,,,,,0.0,15.6,7.1,0.0,0.0,0.0,,0.0,0,121,-8.0
Eugene Omoruyi,7:29,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0,-10,7:29,.000,.000,.000,.000,27.9,16.4,22.6,0.0,0.0,0.0,0.0,5.5,100,121,-8.3
Jules Bernard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Justin Champagnie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Anthony Gill,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,93,.495,12,35,.343,8,10,.800,11,30,41,34,5,5,20,12,112,,240,.575,.559,.376,.108,23.9,76.9,48.2,73.9,4.8,10.4,17.0,100.0,106.8,117.3,
