Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Miles McBride,40:29,3,11,.273,2,7,.286,2,2,1.000,1,2,3,8,1,1,0,3,10,-26,40:29,.421,.364,.636,.182,2.5,6.8,4.3,34.6,1.3,2.8,0.0,13.5,121,132,-2.1
Josh Hart,40:10,6,15,.400,1,4,.250,2,6,.333,3,7,10,5,2,0,1,4,15,-22,40:10,.425,.433,.267,.400,7.6,23.9,14.6,25.1,2.7,0.0,5.4,21.4,101,126,-3.1
Precious Achiuwa,39:43,4,10,.400,0,3,.000,7,8,.875,3,4,7,2,0,1,1,3,15,-18,39:43,.555,.400,.300,.800,7.7,13.8,10.3,9.2,0.0,2.8,6.9,16.9,123,134,-5.2
Donte DiVincenzo,36:32,8,21,.381,7,18,.389,0,0,,1,3,4,2,2,0,3,3,23,-18,36:32,.548,.548,.857,.000,2.8,11.3,6.4,12.8,3.0,0.0,12.5,30.3,94,129,0.1
Jericho Sims,29:46,3,3,1.000,0,0,,1,3,.333,2,5,7,3,0,2,2,3,7,-18,29:46,.810,1.000,.000,1.000,6.9,23.0,13.8,18.5,0.0,7.5,31.6,9.8,115,128,-1.6
Bojan Bogdanović,29:03,6,14,.429,4,10,.400,4,4,1.000,3,1,4,5,1,0,4,4,20,-9,29:03,.635,.571,.714,.286,10.5,4.7,8.1,39.2,1.9,0.0,20.2,31.4,111,133,3.7
Alec Burks,16:20,1,7,.143,0,2,.000,0,0,,0,2,2,1,0,1,0,0,2,-1,16:20,.143,.143,.286,.000,0.0,16.8,7.2,10.5,0.0,6.8,0.0,19.8,43,131,-16.5
Charlie Brown Jr.,2:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1,2:39,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0,139,-27.0
DaQuan Jeffries,2:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1,2:39,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0,139,-27.3
Jacob Toppin,2:39,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-1,2:39,,,,,0.0,51.8,22.1,58.4,0.0,0.0,,0.0,245,125,7.6
Jalen Brunson,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Isaiah Hartenstein,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,31,83,.373,14,46,.304,16,23,.696,13,25,38,27,6,5,11,20,92,,240,.494,.458,.554,.277,27.7,71.4,46.3,87.1,6.8,11.6,10.6,100.0,104.3,130.4,
