Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,32:31,13,15,.867,5,6,.833,1,1,1.000,0,3,3,6,1,0,5,0,32,+7,32:31,1.036,1.033,.400,.067,0.0,8.4,5.1,33.0,1.5,0.0,24.5,28.5,138,104,15.8
Nikola Jokić,32:19,5,9,.556,0,0,,4,4,1.000,1,13,14,11,3,1,2,3,14,+37,32:19,.651,.556,.000,.444,4.5,36.4,24.2,42.4,4.6,2.5,15.7,17.9,141,82,14.6
Kentavious Caldwell-Pope,28:57,6,10,.600,4,6,.667,0,0,,1,1,2,4,3,0,0,3,16,+38,28:57,.800,.800,.600,.000,5.0,3.1,3.9,18.4,5.1,0.0,0.0,15.7,159,98,12.7
Michael Porter Jr.,24:27,5,11,.455,2,6,.333,2,2,1.000,0,5,5,1,0,1,3,3,14,+35,24:27,.589,.545,.545,.182,0.0,18.5,11.4,5.4,0.0,3.3,20.2,27.6,89,100,-7.0
Aaron Gordon,24:24,7,8,.875,0,1,.000,3,4,.750,1,5,6,6,0,0,0,0,17,+40,24:24,.871,.875,.125,.500,6.0,18.6,13.7,36.6,0.0,0.0,0.0,18.1,188,103,15.7
Peyton Watson,20:02,3,6,.500,0,1,.000,0,0,,1,1,2,1,0,1,2,2,6,-18,20:02,.500,.500,.167,.000,7.3,4.5,5.6,6.2,0.0,4.0,25.0,18.1,83,106,-9.2
Christian Braun,19:59,2,8,.250,1,6,.167,0,0,,0,3,3,0,1,0,0,2,5,-13,19:59,.313,.313,.750,.000,0.0,13.6,8.4,0.0,2.5,0.0,0.0,18.2,62,99,-12.1
Reggie Jackson,18:38,2,6,.333,1,2,.500,0,0,,0,1,1,4,0,0,1,0,5,+12,18:38,.417,.417,.333,.000,0.0,4.9,3.0,25.2,0.0,0.0,14.3,17.0,96,109,-6.1
Zeke Nnaji,13:44,0,4,.000,0,1,.000,0,0,,0,2,2,0,1,3,0,2,0,-19,13:44,.000,.000,.250,.000,0.0,13.2,8.1,0.0,3.6,17.5,0.0,13.2,0,86,-9.7
Justin Holiday,12:19,1,2,.500,0,1,.000,0,0,,0,1,1,0,1,0,1,0,2,-14,12:19,.500,.500,.500,.000,0.0,7.4,4.5,0.0,4.0,0.0,33.3,11.0,58,99,-6.3
Jay Huff,3:34,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,3,-1,3:34,1.500,1.500,1.000,.000,0.0,50.8,31.3,0.0,0.0,0.0,0.0,12.7,300,88,25.2
Hunter Tyson,3:34,1,3,.333,1,2,.500,0,0,,1,1,2,0,0,0,0,0,3,-1,3:34,.000,.000,1.000,.000,0.0,0.0,0.0,29.3,0.0,0.0,50.0,25.4,33,109,-35.1
Jalen Pickett,3:34,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,2,0,-1,3:34,.500,.500,.667,.000,40.8,25.4,31.3,0.0,0.0,0.0,0.0,38.1,111,100,0.3
Julian Strawther,1:56,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+3,1:56,.000,.000,.500,.000,0.0,0.0,0.0,54.0,0.0,0.0,0.0,46.9,36,111,-37.6
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,86,.535,15,35,.429,10,11,.909,5,38,43,35,10,6,15,17,117,,240,.644,.622,.407,.128,15.2,71.7,50.0,76.1,10.2,10.0,14.2,100.0,119.5,98.0,
