Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,40:25,8,19,.421,1,3,.333,7,10,.700,2,5,7,6,0,0,3,1,24,+2,40:25,.513,.447,.158,.526,4.5,10.6,7.6,26.9,0.0,0.0,11.4,26.3,108,111,2.0
Devin Booker,39:14,13,27,.481,6,11,.545,3,3,1.000,1,6,7,3,1,1,1,4,35,+11,39:14,.618,.593,.407,.111,2.3,13.1,7.9,18.3,1.2,2.3,3.4,30.1,127,105,12.5
Royce O'Neale,37:04,3,10,.300,3,9,.333,2,2,1.000,1,5,6,7,3,1,1,3,11,+10,37:04,.506,.450,.900,.200,2.4,11.6,7.1,28.2,3.8,2.4,8.4,12.9,122,100,9.1
Grayson Allen,35:54,2,9,.222,2,9,.222,0,0,,0,4,4,0,0,0,0,4,6,-9,35:54,.333,.333,1.000,.000,0.0,9.6,4.9,0.0,0.0,0.0,0.0,10.1,74,111,-9.0
Jusuf Nurkić,27:05,4,10,.400,0,1,.000,8,16,.500,5,8,13,2,1,3,7,6,16,+6,27:05,.469,.400,.100,1.600,16.7,25.3,21.1,12.3,1.8,9.8,29.1,35.7,81,93,-6.7
Bol Bol,25:38,3,6,.500,0,2,.000,1,2,.500,1,3,4,0,0,0,0,3,7,+13,25:38,.509,.500,.333,.333,3.5,10.0,6.9,0.0,0.0,0.0,0.0,10.8,112,111,-5.4
Drew Eubanks,15:47,1,2,.500,0,0,,2,2,1.000,1,6,7,0,0,1,2,0,4,-2,15:47,.694,.500,.000,1.000,5.7,32.6,19.5,0.0,0.0,5.6,41.0,12.4,89,94,-1.7
Josh Okogie,11:18,1,4,.250,1,2,.500,0,0,,2,0,2,0,1,0,0,0,3,-9,11:18,.375,.375,.500,.000,16.0,0.0,7.8,0.0,4.2,0.0,0.0,14.2,105,108,2.7
Saben Lee,7:35,1,2,.500,0,0,,2,2,1.000,1,0,1,2,0,0,0,0,4,+3,7:35,.694,.500,.000,1.000,11.9,0.0,5.8,42.7,0.0,0.0,0.0,15.3,172,118,13.4
Théo Maledon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Thaddeus Young,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,89,.404,13,37,.351,25,37,.676,14,37,51,20,6,6,14,21,110,,240,.522,.478,.416,.416,26.4,66.1,46.8,55.6,5.9,11.1,11.7,100.0,108.8,103.8,
