Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Deni Avdija,43:17,5,10,.500,3,5,.600,2,2,1.000,2,13,15,5,1,0,2,3,15,-11,43:17,.689,.650,.500,.200,5.1,37.9,20.4,13.3,1.1,0.0,15.5,12.9,131,119,0.6
Kyle Kuzma,37:15,7,16,.438,4,8,.500,2,2,1.000,2,8,10,4,1,3,2,3,20,0,37:15,.592,.563,.500,.125,5.9,27.1,15.8,13.5,1.3,5.5,10.6,22.0,117,114,3.3
Tyus Jones,36:39,3,7,.429,1,3,.333,1,1,1.000,0,1,1,11,2,0,3,0,8,+6,36:39,.538,.500,.429,.143,0.0,3.4,1.6,33.4,2.6,0.0,28.7,12.3,115,120,-2.5
Marvin Bagley III,33:41,11,14,.786,1,1,1.000,0,1,.000,1,3,4,1,0,2,1,3,23,+11,33:41,.796,.821,.071,.071,3.3,11.2,7.0,4.5,0.0,4.0,6.5,19.9,141,120,2.5
Landry Shamet,16:29,2,7,.286,0,4,.000,0,0,,0,1,1,1,0,0,1,0,4,+4,16:29,.286,.286,.571,.000,0.0,7.7,3.6,7.1,0.0,0.0,12.5,21.0,59,125,-17.7
Jordan Poole,38:06,13,26,.500,5,12,.417,3,4,.750,0,3,3,7,1,1,3,4,34,-12,38:06,.612,.596,.462,.154,0.0,9.9,4.6,28.7,1.2,1.8,9.8,35.0,116,120,2.9
Corey Kispert,27:27,8,15,.533,2,7,.286,2,2,1.000,2,4,6,6,1,0,2,2,20,-4,27:27,.630,.600,.467,.133,8.0,18.4,12.9,31.7,1.7,0.0,11.2,28.2,127,120,5.3
Johnny Davis,16:41,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-3,16:41,.000,.000,.000,.000,6.6,7.6,7.1,0.0,0.0,0.0,0.0,7.8,31,125,-14.0
Richaun Holmes,13:56,3,4,.750,1,1,1.000,0,0,,2,1,3,0,0,0,1,4,7,-8,13:56,.875,.875,.250,.000,15.8,9.1,12.7,0.0,0.0,0.0,20.0,15.6,136,124,-5.5
Jules Bernard,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,1:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-9.5
Anthony Gill,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:04,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-8.7
Jared Butler,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Justin Champagnie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Isaiah Livers,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Eugene Omoruyi,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,52,102,.510,17,41,.415,10,12,.833,10,35,45,35,6,6,15,19,131,,265,.611,.593,.402,.118,20.8,83.3,50.0,67.3,5.4,7.7,12.3,100.0,117.1,119.8,
