Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
D'Angelo Russell,43:48,9,21,.429,4,11,.364,0,0,,0,6,6,5,1,1,3,4,22,+4,43:48,.524,.524,.524,.000,0.0,15.1,8.1,14.4,1.1,2.0,12.5,23.7,96,118,-4.8
Anthony Davis,41:15,14,22,.636,0,0,,12,13,.923,3,12,15,4,1,3,1,2,40,+6,41:15,.722,.636,.000,.591,9.2,32.1,21.4,14.7,1.1,6.3,3.5,30.1,148,111,12.9
Austin Reaves,39:24,6,11,.545,0,2,.000,0,0,,1,5,6,4,1,1,1,3,12,+2,39:24,.545,.545,.182,.000,3.2,14.0,9.0,12.0,1.2,2.2,8.3,13.2,113,117,-3.9
LeBron James,38:44,12,24,.500,2,5,.400,5,7,.714,0,4,4,9,1,1,4,1,31,-5,38:44,.572,.542,.208,.292,0.0,11.4,6.1,33.7,1.2,2.2,12.9,34.7,109,118,3.2
Rui Hachimura,35:09,4,11,.364,0,2,.000,0,0,,2,5,7,1,2,0,0,3,8,+7,35:09,.364,.364,.182,.000,7.2,15.7,11.7,3.2,2.7,0.0,0.0,13.5,90,115,-7.7
Spencer Dinwiddie,25:43,3,5,.600,2,3,.667,2,3,.667,0,0,0,3,0,0,1,2,10,+4,25:43,.791,.800,.600,.600,0.0,0.0,0.0,13.2,0.0,0.0,13.7,12.3,140,125,-0.9
Taurean Prince,17:21,1,2,.500,0,0,,0,0,,0,2,2,3,0,0,1,1,2,-2,17:21,.500,.500,.000,.000,0.0,12.7,6.8,18.3,0.0,0.0,33.3,7.5,99,122,-4.6
Jaxson Hayes,10:55,3,4,.750,0,0,,0,0,,1,4,5,0,0,0,0,0,6,-2,10:55,.750,.750,.000,.000,11.6,40.5,27.0,0.0,0.0,0.0,0.0,15.8,152,117,2.6
Max Christie,8:33,1,1,1.000,0,0,,1,1,1.000,0,0,0,1,0,0,0,0,3,+2,8:33,1.042,1.000,.000,1.000,0.0,0.0,0.0,13.2,0.0,0.0,0.0,7.3,217,125,4.0
Cam Reddish,4:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1,4:08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,-7.1
Skylar Mays,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dylan Windler,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,53,101,.525,8,23,.348,20,24,.833,7,38,45,30,6,6,11,16,134,,265,.601,.564,.228,.238,16.7,79.2,50.0,56.6,5.4,9.8,9.0,100.0,119.8,117.1,
