Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Cade Cunningham,36:50,6,19,.316,2,8,.250,7,7,1.000,0,3,3,10,1,0,1,3,21,+3,36:50,.476,.368,.421,.368,0.0,8.7,4.1,51.8,1.3,0.0,4.3,27.5,109,121,1.4
Ausar Thompson,36:40,6,11,.545,2,3,.667,1,2,.500,1,6,7,3,5,2,1,0,15,+1,36:40,.631,.636,.273,.182,2.6,17.5,9.6,15.6,6.8,6.2,7.8,15.4,118,100,9.8
Isaiah Stewart,33:02,6,12,.500,4,7,.571,0,0,,1,8,9,3,0,3,0,1,16,+7,33:02,.667,.667,.583,.000,2.9,25.8,13.8,18.0,0.0,10.4,0.0,16.0,133,112,8.8
Jaden Ivey,31:27,6,17,.353,1,9,.111,5,6,.833,1,2,3,4,0,1,1,6,18,-13,31:27,.458,.382,.529,.353,3.1,6.8,4.8,25.6,0.0,3.6,4.8,28.8,98,123,-5.5
Jalen Duren,30:52,4,7,.571,0,0,,6,7,.857,4,6,10,2,0,1,1,5,14,-10,30:52,.694,.571,.000,1.000,12.4,20.7,16.4,11.6,0.0,3.7,9.0,15.8,143,117,-1.2
Simone Fontecchio,25:08,2,8,.250,1,3,.333,2,3,.667,0,2,2,1,2,0,3,3,7,-4,25:08,.376,.313,.375,.375,0.0,8.5,4.0,6.5,4.0,0.0,24.4,21.5,60,114,-13.1
Evan Fournier,14:33,0,2,.000,0,1,.000,3,3,1.000,0,2,2,1,1,0,0,1,3,-1,14:33,.452,.000,.500,1.500,0.0,14.7,6.9,10.0,3.4,0.0,0.0,10.0,111,113,-4.4
Quentin Grimes,14:07,1,6,.167,0,3,.000,0,0,,0,0,0,0,1,0,1,0,2,-12,14:07,.167,.167,.500,.000,0.0,0.0,0.0,0.0,3.5,0.0,14.3,21.8,30,119,-19.3
James Wiseman,12:02,2,4,.500,0,0,,0,0,,2,4,6,0,0,0,0,3,4,-11,12:02,.500,.500,.000,.000,16.0,35.5,25.2,0.0,0.0,0.0,0.0,14.6,117,113,-9.1
Malachi Flynn,5:19,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-10,5:19,.000,.000,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0,127,-35.1
Troy Brown Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Shake Milton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,33,89,.371,10,36,.278,24,28,.857,9,33,42,24,10,7,8,23,100,,240,.493,.427,.404,.315,18.0,73.3,44.2,72.7,10.4,16.7,7.3,100.0,103.5,113.9,
