Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyle Kuzma,29:09,13,19,.684,5,7,.714,1,1,1.000,0,7,7,1,1,0,1,2,32,-16,29:09,.823,.816,.368,.053,0.0,29.6,13.1,6.7,1.6,0.0,4.9,29.6,143,134,13.6
Marvin Bagley III,27:50,5,9,.556,0,0,,0,0,,6,4,10,0,0,0,0,2,10,-17,27:50,.556,.556,.000,.000,21.1,17.7,19.6,0.0,0.0,0.0,0.0,13.7,135,139,-7.8
Deni Avdija,26:21,4,11,.364,2,4,.500,4,5,.800,0,5,5,5,0,0,2,2,14,-15,26:21,.530,.455,.364,.455,0.0,23.4,10.4,23.5,0.0,0.0,13.2,24.4,105,138,-3.1
Tyus Jones,22:45,1,7,.143,0,4,.000,0,0,,0,0,0,9,1,0,1,0,2,-14,22:45,.143,.143,.571,.000,0.0,0.0,0.0,43.3,2.1,0.0,12.5,14.9,79,138,-10.0
Landry Shamet,17:14,2,6,.333,2,6,.333,2,2,1.000,0,1,1,0,1,0,1,2,8,-9,17:14,.581,.500,1.000,.333,0.0,7.1,3.2,0.0,2.7,0.0,12.7,19.3,100,135,-6.9
Johnny Davis,24:20,1,4,.250,0,1,.000,0,0,,0,2,2,2,1,0,0,1,2,-8,24:20,.250,.250,.250,.000,0.0,10.1,4.5,9.0,1.9,0.0,0.0,6.9,76,136,-8.2
Corey Kispert,22:36,4,7,.571,1,3,.333,0,1,.000,0,2,2,0,0,1,0,2,9,-22,22:36,.605,.643,.429,.143,0.0,10.9,4.8,0.0,0.0,3.4,0.0,13.9,113,138,-6.4
Jordan Poole,21:24,7,15,.467,1,4,.250,1,1,1.000,0,4,4,4,0,0,1,4,16,-17,21:24,.518,.500,.267,.067,0.0,23.0,10.2,29.6,0.0,0.0,6.1,32.5,105,138,-5.8
Jared Butler,15:09,3,6,.500,0,1,.000,2,2,1.000,1,1,2,7,1,0,1,0,8,+3,15:09,.581,.500,.167,.333,6.5,8.1,7.2,60.8,3.1,0.0,12.7,22.0,134,134,8.5
Eugene Omoruyi,12:45,4,7,.571,0,1,.000,0,1,.000,0,0,0,0,0,0,1,2,8,-3,12:45,.538,.571,.143,.143,0.0,0.0,0.0,0.0,0.0,0.0,11.8,28.0,85,142,-14.3
Richaun Holmes,7:25,1,3,.333,0,0,,0,0,,1,3,4,0,0,1,1,0,2,-5,7:25,.333,.333,.000,.000,13.2,49.8,29.4,0.0,0.0,10.4,25.0,22.8,65,126,-12.7
Jules Bernard,6:31,1,1,1.000,1,1,1.000,1,2,.500,1,0,1,0,0,0,0,0,4,-1,6:31,1.064,1.500,1.000,2.000,15.0,0.0,8.4,0.0,0.0,0.0,0.0,12.2,194,142,7.8
Justin Champagnie,6:31,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,1,0,0,0,-1,6:31,.000,.000,.667,.000,0.0,18.9,8.4,16.0,0.0,11.9,0.0,19.5,22,130,-14.8
Anthony Gill,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,98,.469,12,34,.353,11,15,.733,9,30,39,29,5,3,9,17,115,,240,.550,.531,.347,.153,18.4,76.9,44.3,63.0,4.9,4.8,7.9,100.0,112.2,136.6,
