Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,38:55,7,13,.538,0,0,,3,4,.750,2,9,11,2,0,3,0,3,17,-11,38:55,.576,.538,.000,.308,5.9,30.8,17.4,6.4,0.0,5.6,0.0,18.1,125,129,-1.7
LeBron James,37:07,12,20,.600,2,5,.400,0,2,.000,0,4,4,9,3,0,3,1,26,-1,37:07,.623,.650,.250,.100,0.0,14.4,6.6,37.0,4.2,0.0,12.6,30.6,115,127,7.3
Rui Hachimura,36:50,10,15,.667,3,4,.750,0,0,,0,3,3,2,0,0,0,2,23,-13,36:50,.767,.767,.267,.000,0.0,10.9,5.0,7.7,0.0,0.0,0.0,19.4,144,137,2.7
Austin Reaves,36:43,7,12,.583,3,6,.500,2,2,1.000,0,2,2,14,0,0,2,1,19,-9,36:43,.738,.708,.500,.167,0.0,7.3,3.4,48.4,0.0,0.0,13.4,19.3,146,138,8.9
D'Angelo Russell,30:44,6,13,.462,2,7,.286,3,3,1.000,0,3,3,3,0,0,0,1,17,+2,30:44,.594,.538,.538,.231,0.0,13.0,6.0,12.5,0.0,0.0,0.0,22.2,123,137,-2.8
Spencer Dinwiddie,19:57,1,4,.250,1,3,.333,0,0,,1,0,1,3,0,0,1,0,3,-7,19:57,.375,.375,.750,.000,5.7,0.0,3.1,16.2,0.0,0.0,20.0,11.9,95,140,-7.2
Cam Reddish,18:49,1,3,.333,1,2,.500,0,0,,2,0,2,0,1,0,1,1,3,-8,18:49,.500,.500,.667,.000,12.1,0.0,6.5,0.0,2.7,0.0,25.0,10.1,98,133,-5.8
Taurean Prince,12:02,1,6,.167,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,-4,12:02,.167,.167,.333,.000,0.0,11.1,5.1,0.0,0.0,0.0,0.0,23.7,35,137,-24.9
Jaxson Hayes,8:53,2,3,.667,0,0,,0,0,,1,3,4,0,1,1,0,0,4,+1,8:53,.667,.667,.000,.000,12.9,45.0,27.7,0.0,5.8,8.2,0.0,16.1,139,111,9.8
Max Christie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Skylar Mays,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,47,89,.528,12,29,.414,8,11,.727,6,25,31,33,5,4,7,9,114,,240,.607,.596,.326,.124,14.3,69.4,39.7,70.2,5.4,6.1,6.9,100.0,122.3,133.1,
