Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jrue Holiday,26:10,3,7,.429,1,3,.333,0,0,,1,5,6,4,0,1,0,2,7,+39,26:10,.500,.500,.429,.000,4.5,16.4,11.3,15.4,0.0,3.6,0.0,11.9,134,90,0.1
Jayson Tatum,25:12,9,13,.692,4,5,.800,5,5,1.000,0,3,3,5,1,1,0,2,27,+40,25:12,.888,.846,.385,.385,0.0,10.2,5.9,26.6,1.9,3.7,0.0,26.8,183,88,22.8
Jaylen Brown,22:23,11,19,.579,5,10,.500,2,2,1.000,1,2,3,3,1,0,1,2,29,+35,22:23,.729,.711,.526,.105,5.2,7.7,6.6,21.9,2.1,0.0,4.8,41.5,137,91,13.5
Al Horford,20:39,3,5,.600,1,2,.500,0,0,,0,4,4,4,1,0,0,2,7,+35,20:39,.700,.700,.400,.000,0.0,16.6,9.6,20.2,2.3,0.0,0.0,10.8,163,87,7.5
Derrick White,19:41,5,6,.833,4,5,.800,0,0,,0,3,3,8,1,0,0,1,14,+36,19:41,1.167,1.167,.833,.000,0.0,13.1,7.5,47.8,2.4,0.0,0.0,13.6,233,89,28.1
Payton Pritchard,27:21,8,12,.667,3,5,.600,0,0,,0,6,6,6,2,0,2,3,19,+17,27:21,.792,.792,.417,.000,0.0,18.8,10.9,27.0,3.5,0.0,14.3,22.8,142,84,10.2
Sam Hauser,19:38,4,9,.444,4,9,.444,0,0,,0,5,5,0,0,1,1,3,12,+30,19:38,.667,.667,1.000,.000,0.0,21.8,12.6,0.0,0.0,4.8,10.0,22.7,106,88,-0.5
Svi Mykhailiuk,19:16,3,8,.375,2,6,.333,0,0,,2,2,4,2,1,0,0,0,8,+1,19:16,.381,.429,.143,.286,6.1,31.1,20.5,10.9,5.0,4.9,20.2,22.8,79,74,-3.9
Oshae Brissett,19:16,3,7,.429,0,1,.000,0,2,.000,1,7,8,2,2,1,2,2,6,+1,19:16,.500,.500,.750,.000,12.2,8.9,10.3,10.9,2.5,0.0,0.0,18.5,126,90,2.0
Xavier Tillman Sr.,17:51,2,4,.500,1,2,.500,2,2,1.000,0,4,4,0,1,0,0,1,7,+13,17:51,.717,.625,.500,.500,0.0,19.2,11.1,0.0,2.7,0.0,0.0,12.2,144,86,1.8
Jaden Springer,12:00,1,4,.250,0,1,.000,0,0,,1,1,2,1,0,0,1,1,2,-1,12:00,.250,.250,.250,.000,9.8,7.1,8.2,8.2,0.0,0.0,20.0,18.5,72,96,-15.7
Luke Kornet,10:33,1,2,.500,0,0,,0,0,,1,2,3,0,0,1,0,0,2,+14,10:33,.500,.500,.000,.000,11.1,16.2,14.1,0.0,0.0,8.9,0.0,8.4,130,88,-1.5
Team Totals,240,53,96,.552,25,49,.510,9,11,.818,7,44,51,35,10,5,7,19,140,,240,.694,.682,.510,.115,17.1,78.6,52.6,66.0,10.0,9.8,6.5,100.0,139.4,87.6,
