Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
John Collins,34:36,7,11,.636,1,2,.500,2,2,1.000,3,12,15,1,0,6,3,5,17,+19,34:36,.715,.682,.182,.182,9.5,33.3,22.1,3.5,0.0,14.9,20.2,17.4,120,98,0.0
Collin Sexton,33:46,11,19,.579,4,7,.571,3,3,1.000,2,1,3,7,2,0,1,2,29,+18,33:46,.714,.684,.368,.158,6.5,2.8,4.5,29.8,2.7,0.0,4.7,25.6,150,112,10.4
Luka Šamanić,23:01,2,9,.222,1,5,.200,0,0,,0,2,2,2,1,2,0,0,5,-11,23:01,.278,.278,.556,.000,0.0,8.3,4.4,9.3,2.0,7.4,0.0,15.8,75,106,-6.4
Taylor Hendricks,14:13,3,3,1.000,2,2,1.000,0,0,,0,2,2,1,0,0,0,3,8,+1,14:13,1.333,1.333,.667,.000,0.0,13.5,7.2,8.7,0.0,0.0,0.0,8.5,262,115,6.8
Keyonte George,5:46,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-6,5:46,.000,.000,.000,.000,0.0,16.6,8.9,17.0,0.0,0.0,33.3,21.1,23,114,-26.4
Jordan Clarkson,36:19,13,26,.500,4,9,.444,8,9,.889,2,8,10,7,1,0,1,1,38,+21,36:19,.634,.577,.346,.346,6.0,21.1,14.1,29.1,1.3,0.0,3.2,34.5,139,110,8.8
Kris Dunn,27:53,2,5,.400,0,2,.000,0,0,,1,4,5,4,2,1,3,2,4,+9,27:53,.400,.400,.400,.000,3.9,13.8,9.2,15.1,3.3,3.1,37.5,11.6,80,105,-6.9
Brice Sensabaugh,20:58,3,9,.333,1,5,.200,0,0,,0,2,2,2,0,0,1,1,7,-9,20:58,.389,.389,.556,.000,0.0,9.2,4.9,10.9,0.0,0.0,10.0,19.3,84,116,-12.1
Johnny Juzang,20:09,4,8,.500,2,5,.400,0,0,,1,3,4,1,0,0,0,1,10,+18,20:09,.625,.625,.625,.000,5.4,14.3,10.1,6.0,0.0,0.0,0.0,16.1,135,115,-2.2
Talen Horton-Tucker,15:28,4,9,.444,1,3,.333,0,1,.000,0,1,1,3,0,0,0,0,9,-2,15:28,.477,.500,.333,.111,0.0,6.2,3.3,25.4,0.0,0.0,0.0,24.7,113,117,-4.7
Omer Yurtseven,7:51,0,0,,0,0,,0,0,,2,4,6,0,0,0,1,1,0,+2,7:51,,,,,27.8,48.9,39.0,0.0,0.0,0.0,100.0,5.2,93,105,-11.5
Kira Lewis Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Micah Potter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jason Preston,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,49,101,.485,16,40,.400,13,15,.867,11,40,51,29,6,9,11,16,127,,240,.590,.564,.396,.149,25.0,80.0,54.3,59.2,5.7,16.1,9.3,100.0,120.5,109.1,
