Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Johnson,38:14,12,17,.706,2,3,.667,0,0,,1,8,9,7,1,0,1,4,26,+23,38:14,.765,.765,.176,.000,3.5,18.3,12.4,30.4,1.3,0.0,5.6,20.3,159,105,12.4
Dejounte Murray,36:58,7,17,.412,4,9,.444,3,4,.750,1,8,9,6,1,0,1,0,21,+2,36:58,.560,.529,.529,.235,3.6,18.9,12.8,22.3,1.4,0.0,5.1,23.1,132,105,5.0
Saddiq Bey,35:54,6,15,.400,1,7,.143,4,4,1.000,4,5,9,2,1,1,1,0,17,+3,35:54,.507,.433,.467,.267,14.9,12.2,13.2,7.4,1.4,2.8,5.6,21.4,123,107,0.4
Bogdan Bogdanović,30:26,1,6,.167,1,6,.167,2,2,1.000,0,1,1,4,2,1,3,0,5,+19,30:26,.363,.250,1.000,.333,0.0,2.9,1.7,14.9,3.4,3.4,30.4,14.0,78,108,-4.2
Clint Capela,25:29,5,11,.455,0,0,,3,4,.750,3,6,9,3,0,1,1,2,13,+13,25:29,.509,.455,.000,.364,15.7,20.5,18.6,16.3,0.0,4.0,7.3,23.3,123,105,0.2
De'Andre Hunter,25:03,9,14,.643,2,5,.400,2,4,.500,0,3,3,0,1,0,0,0,22,+13,25:03,.698,.714,.357,.286,0.0,10.5,6.3,0.0,2.0,0.0,0.0,27.2,143,108,8.2
Bruno Fernando,22:31,2,4,.500,0,0,,0,0,,3,4,7,0,0,2,7,4,4,+3,22:31,.500,.500,.000,.000,17.8,15.5,16.4,0.0,0.0,9.1,63.6,21.1,47,105,-20.0
Garrison Mathews,14:23,0,1,.000,0,1,.000,3,3,1.000,1,2,3,0,0,0,0,1,3,-10,14:23,.647,.000,1.000,3.000,9.3,12.1,11.0,0.0,0.0,0.0,0.0,7.0,170,112,-4.0
Trent Forrest,11:02,2,2,1.000,0,0,,1,2,.500,0,1,1,4,0,0,0,2,5,+14,11:02,.868,1.000,.000,1.000,0.0,7.9,4.8,49.3,0.0,0.0,0.0,11.3,190,114,9.4
Kobe Bufkin,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Wesley Matthews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dylan Windler,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,87,.506,10,31,.323,18,23,.783,13,38,51,26,6,5,14,13,116,,240,.597,.563,.356,.264,36.1,69.1,56.0,59.1,6.4,10.6,12.6,100.0,123.5,106.5,
