Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Zion Williamson,25:59,7,11,.636,0,0,,2,2,1.000,2,6,8,9,1,2,1,0,16,+28,25:59,.673,.636,.000,.182,7.2,19.8,13.8,41.5,1.8,7.5,7.8,19.7,159,93,16.2
Herbert Jones,25:19,6,10,.600,5,8,.625,0,0,,0,2,2,3,2,0,1,3,17,+11,25:19,.850,.850,.800,.000,0.0,6.8,3.5,13.7,3.7,0.0,9.1,17.3,154,97,10.5
Brandon Ingram,25:06,5,7,.714,0,1,.000,2,2,1.000,1,2,3,6,0,0,2,3,12,+8,25:06,.761,.714,.143,.286,3.7,6.8,5.4,26.4,0.0,0.0,20.2,15.6,145,105,0.3
CJ McCollum,22:30,4,11,.364,3,9,.333,0,0,,0,4,4,4,0,0,1,2,11,+3,22:30,.500,.500,.818,.000,0.0,15.2,8.0,19.2,0.0,0.0,8.3,21.2,114,102,-4.2
Jonas Valančiūnas,20:03,3,6,.500,2,2,1.000,2,2,1.000,1,9,10,1,0,1,2,2,10,+21,20:03,.727,.667,.333,.333,4.7,38.5,22.4,5.2,0.0,4.9,22.5,17.6,119,91,0.3
Trey Murphy III,29:15,11,17,.647,10,14,.714,2,4,.500,2,4,6,1,1,0,0,0,34,+44,29:15,.906,.941,.824,.235,6.4,11.7,9.2,4.7,1.6,0.0,0.0,25.5,174,101,22.5
Jose Alvarado,23:31,2,7,.286,1,4,.250,0,0,,0,2,2,6,3,0,2,1,5,+32,23:31,.357,.357,.571,.000,0.0,7.3,3.8,25.0,6.0,0.0,22.2,15.2,97,92,-0.4
Naji Marshall,20:25,5,10,.500,1,4,.250,0,0,,3,4,7,4,1,0,1,2,11,+25,20:25,.550,.550,.400,.000,13.8,16.8,15.4,22.8,2.3,0.0,9.1,21.4,132,96,3.2
Larry Nance Jr.,15:34,3,5,.600,0,0,,0,0,,2,4,6,2,1,1,1,3,6,+14,15:34,.600,.600,.000,.000,12.1,22.0,17.3,14.1,3.0,6.3,16.7,15.3,128,88,2.3
Jordan Hawkins,9:48,1,6,.167,0,2,.000,0,0,,0,2,2,0,0,0,0,1,2,+2,9:48,.167,.167,.333,.000,0.0,17.5,9.2,0.0,0.0,0.0,0.0,24.3,42,101,-27.7
Matt Ryan,7:28,2,4,.500,2,4,.500,0,0,,0,2,2,1,0,0,0,1,6,+5,7:28,.000,.000,.000,.000,0.0,23.0,12.0,0.0,0.0,0.0,0.0,10.6,0,100,-17.8
Jeremiah Robinson-Earl,7:28,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+5,7:28,.750,.750,1.000,.000,0.0,23.0,12.0,16.0,0.0,0.0,0.0,21.3,159,99,9.9
Cody Zeller,4:11,2,4,.500,0,0,,1,1,1.000,5,1,6,1,0,1,0,1,5,+4,4:11,.563,.500,.000,.250,100.0,20.5,64.3,38.2,0.0,23.4,0.0,42.2,167,85,21.6
Izaiah Brockington,3:23,2,5,.400,0,1,.000,0,0,,1,1,2,0,0,0,0,0,4,+3,3:23,.400,.400,.200,.000,27.8,25.3,26.5,0.0,0.0,0.0,0.0,58.7,99,100,-17.8
Team Totals,240,53,105,.505,24,49,.490,9,11,.818,17,45,62,38,9,5,11,19,139,,240,.633,.619,.467,.105,33.3,80.4,57.9,71.7,8.9,10.2,9.1,100.0,137.2,96.7,
