Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Immanuel Quickley,33:11,6,14,.429,4,7,.571,1,3,.333,1,6,7,7,1,0,1,2,17,-21,33:11,.555,.571,.500,.214,2.6,17.0,9.5,37.1,1.4,0.0,6.1,20.8,119,136,1.9
RJ Barrett,31:59,7,14,.500,0,2,.000,1,5,.200,0,6,6,1,0,2,3,3,15,-19,31:59,.463,.500,.143,.357,0.0,17.7,8.4,5.9,0.0,5.4,15.6,25.3,76,136,-11.5
Gary Trent Jr.,29:04,6,12,.500,4,10,.400,0,0,,0,3,3,1,1,0,1,1,16,-13,29:04,.667,.667,.833,.000,0.0,9.7,4.6,6.3,1.6,0.0,7.7,18.9,117,139,-0.7
Kelly Olynyk,28:13,4,9,.444,1,3,.333,6,7,.857,2,4,6,7,2,2,1,2,15,-14,28:13,.621,.500,.333,.778,6.1,13.3,9.5,40.8,3.4,6.1,7.6,19.6,138,130,10.7
Ochai Agbaji,15:31,1,4,.250,1,3,.333,0,0,,1,2,3,0,0,0,0,0,3,-14,15:31,.375,.375,.750,.000,5.5,12.1,8.7,0.0,0.0,0.0,0.0,10.9,89,142,-10.1
Gradey Dick,27:04,1,7,.143,0,5,.000,0,0,,1,1,2,0,1,0,2,1,2,-35,27:04,.143,.143,.714,.000,3.2,3.5,3.3,0.0,1.8,0.0,22.2,14.0,30,141,-19.9
Jordan Nwora,19:48,4,15,.267,1,6,.167,0,0,,3,3,6,1,0,1,0,0,9,-32,19:48,.300,.300,.400,.000,13.0,14.3,13.6,9.2,0.0,4.3,0.0,32.0,76,138,-10.4
Javon Freeman-Liberty,17:38,4,7,.571,1,3,.333,4,5,.800,0,3,3,1,0,0,0,0,13,-5,17:38,.707,.643,.429,.714,0.0,16.0,7.6,10.8,0.0,0.0,0.0,22.0,146,140,3.8
Jontay Porter,16:24,2,5,.400,1,3,.333,0,0,,0,3,3,2,0,1,3,1,5,-24,16:24,.500,.500,.600,.000,0.0,17.2,8.2,19.4,0.0,5.2,37.5,20.6,68,137,-10.6
D.J. Carton,12:30,0,2,.000,0,1,.000,1,2,.500,1,1,2,0,1,0,0,0,1,-18,12:30,.174,.000,.500,1.000,6.9,7.5,7.2,0.0,3.8,0.0,0.0,9.7,59,134,-10.9
Jahmi'us Ramsey,5:15,1,3,.333,0,1,.000,0,0,,1,1,2,1,0,0,0,0,2,-7,5:15,.333,.333,.333,.000,16.3,17.9,17.1,34.0,0.0,0.0,0.0,24.1,97,139,-4.7
Mouhamadou Gueye,3:23,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,0,1,0,-3,3:23,.000,.000,.000,.000,25.3,27.8,26.5,0.0,0.0,25.3,0.0,12.5,59,120,-11.7
Chris Boucher,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen McDaniels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,93,.387,13,44,.295,13,22,.591,11,34,45,21,6,7,11,11,98,,240,.477,.457,.473,.237,19.6,66.7,42.1,58.3,5.9,12.5,9.7,100.0,96.7,137.2,
