Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,33:13,9,19,.474,2,5,.400,2,2,1.000,0,5,5,3,0,0,5,1,22,+1,33:13,.553,.526,.263,.105,0.0,20.1,10.0,16.1,0.0,0.0,20.1,36.8,93,103,-6.8
Franz Wagner,30:05,4,11,.364,0,5,.000,0,1,.000,1,2,3,2,1,0,4,1,8,-3,30:05,.350,.364,.455,.091,4.4,8.9,6.6,9.5,1.8,0.0,25.9,25.2,64,100,-14.6
Wendell Carter Jr.,28:59,5,7,.714,2,4,.500,0,0,,4,5,9,1,1,0,1,1,12,0,28:59,.857,.857,.571,.000,18.4,23.0,20.7,5.2,1.8,0.0,12.5,13.6,157,99,6.7
Gary Harris,21:41,3,4,.750,2,2,1.000,1,2,.500,0,0,0,0,3,0,1,3,9,+6,21:41,.922,1.000,.500,.500,0.0,0.0,0.0,0.0,7.3,0.0,17.0,13.3,135,88,7.8
Jalen Suggs,20:26,2,4,.500,0,2,.000,0,1,.000,0,4,4,3,1,0,1,4,4,+5,20:26,.450,.500,.500,.250,0.0,26.1,13.1,20.0,2.6,0.0,18.4,13.1,98,97,-5.0
Anthony Black,27:34,3,5,.600,3,4,.750,1,4,.250,1,4,5,1,0,0,1,1,10,+7,27:34,.740,.900,.800,.800,4.8,19.3,12.1,5.0,0.0,0.0,12.9,13.8,125,103,1.5
Cole Anthony,22:48,5,11,.455,2,8,.250,2,2,1.000,0,3,3,3,2,0,2,3,14,+15,22:48,.589,.545,.727,.182,0.0,17.5,8.8,21.4,4.7,0.0,14.4,29.9,111,92,3.1
Moritz Wagner,18:15,5,8,.625,1,3,.333,0,0,,0,4,4,2,0,0,2,1,11,+12,18:15,.688,.688,.375,.000,0.0,29.2,14.6,19.6,0.0,0.0,20.0,26.9,110,102,1.4
Jonathan Isaac,17:32,4,4,1.000,1,1,1.000,2,3,.667,1,5,6,0,1,1,0,0,11,+2,17:32,1.034,1.125,.250,.750,7.6,38.0,22.8,0.0,3.0,7.0,0.0,14.9,207,89,17.3
Joe Ingles,17:09,0,1,.000,0,1,.000,0,0,,1,1,2,8,0,0,0,1,0,+15,17:09,.000,.000,1.000,.000,7.8,7.8,7.8,56.0,0.0,0.0,0.0,2.9,181,104,6.6
Caleb Houstan,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:46,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,105,-5.4
Chuma Okeke,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:46,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,105,-4.5
Admiral Schofield,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:46,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,105,-5.5
Goga Bitadze,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,74,.541,13,35,.371,8,15,.533,8,33,41,23,9,1,17,16,101,,240,.627,.628,.473,.203,22.2,91.7,56.9,57.5,10.0,2.6,17.4,100.0,111.7,98.4,
