Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tobias Harris,37:23,8,16,.500,1,3,.333,1,2,.500,1,8,9,4,0,0,2,0,18,-4,37:23,.533,.531,.188,.125,3.1,25.7,14.1,17.3,0.0,0.0,10.6,23.7,105,121,-2.6
Kyle Lowry,36:01,5,9,.556,4,7,.571,0,0,,0,2,2,5,1,0,3,6,14,+1,36:01,.778,.778,.778,.000,0.0,6.7,3.3,20.0,1.4,0.0,25.0,15.6,117,122,-1.6
Buddy Hield,27:38,3,9,.333,2,3,.667,5,5,1.000,0,3,3,4,1,0,0,1,13,-10,27:38,.580,.444,.333,.556,0.0,13.0,6.4,20.0,1.9,0.0,0.0,19.0,134,120,3.1
Cameron Payne,22:35,5,10,.500,3,7,.429,2,2,1.000,0,3,3,1,1,0,1,3,15,-2,22:35,.689,.650,.700,.200,0.0,15.9,7.8,7.2,2.3,0.0,8.4,24.7,123,118,2.3
Mo Bamba,11:46,2,5,.400,0,0,,0,0,,1,2,3,0,0,1,2,4,4,-4,11:46,.400,.400,.000,.000,9.7,20.4,14.9,0.0,0.0,7.6,28.6,27.9,63,116,-21.5
Kelly Oubre Jr.,36:05,11,20,.550,2,5,.400,6,8,.750,1,5,6,4,0,0,1,4,30,+3,36:05,.638,.600,.250,.400,3.2,16.6,9.7,21.0,0.0,0.0,4.1,31.9,129,123,3.4
Nicolas Batum,32:19,1,6,.167,0,3,.000,0,0,,2,5,7,4,0,1,1,2,2,-1,32:19,.167,.167,.500,.000,7.1,18.6,12.7,15.4,0.0,2.8,14.3,10.2,78,120,-7.1
Paul Reed,18:56,2,3,.667,0,0,,1,2,.500,1,1,2,2,2,0,0,1,5,0,18:56,.644,.667,.000,.667,6.0,6.3,6.2,14.5,5.4,0.0,0.0,9.6,151,113,5.3
KJ Martin,11:22,3,4,.750,0,0,,0,0,,2,1,3,0,1,0,1,3,6,-2,11:22,.750,.750,.000,.000,20.1,10.6,15.4,0.0,4.5,0.0,20.0,20.6,123,114,-0.7
Jeff Dowtin,5:55,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-6,5:55,,,,,0.0,0.0,0.0,20.3,0.0,0.0,100.0,7.9,48,127,-14.1
Ricky Council IV,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Terquavion Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,82,.488,12,28,.429,15,19,.789,8,30,38,25,6,2,12,24,107,,240,.592,.561,.341,.232,19.0,75.0,46.3,62.5,6.4,3.7,11.7,100.0,114.4,119.7,
