Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,43:47,14,34,.412,3,8,.375,4,5,.800,0,8,8,5,0,2,2,1,35,+14,43:47,.483,.456,.235,.147,0.0,19.0,9.4,24.2,0.0,4.3,5.2,40.3,97,106,1.5
Grayson Allen,40:38,9,15,.600,8,12,.667,2,2,1.000,1,4,5,4,3,0,0,1,28,+20,40:38,.882,.867,.800,.133,2.5,10.2,6.3,17.2,3.8,0.0,0.0,18.1,169,103,18.3
Royce O'Neale,39:02,3,9,.333,2,5,.400,0,0,,1,4,5,6,0,0,1,2,8,+12,39:02,.444,.444,.556,.000,2.6,10.6,6.6,21.5,0.0,0.0,10.0,11.8,107,112,-2.8
Bradley Beal,36:14,6,18,.333,2,5,.400,2,2,1.000,1,5,6,6,2,0,2,4,16,+4,36:14,.424,.389,.278,.111,2.8,14.3,8.5,26.4,2.8,0.0,9.6,26.6,93,104,-3.6
Jusuf Nurkić,29:54,3,4,.750,0,0,,1,2,.500,1,11,12,6,2,2,3,6,7,+9,29:54,.717,.750,.000,.500,3.4,38.2,20.7,29.0,3.4,6.3,38.1,12.2,111,91,5.7
Drew Eubanks,23:06,3,3,1.000,0,0,,4,4,1.000,4,4,8,0,0,2,0,3,10,+1,23:06,1.050,1.000,.000,1.333,17.6,18.0,17.8,0.0,0.0,8.2,0.0,9.5,227,103,6.1
Eric Gordon,21:41,1,7,.143,0,4,.000,2,4,.500,1,0,1,2,2,0,1,0,4,+6,21:41,.228,.143,.571,.571,4.7,0.0,2.4,12.4,4.8,0.0,10.2,20.8,63,104,-9.6
Saben Lee,12:41,1,3,.333,0,0,,2,2,1.000,1,2,3,2,0,0,0,0,4,-12,12:41,.515,.333,.000,.667,8.0,16.4,12.2,22.1,0.0,0.0,0.0,14.1,138,110,0.7
Bol Bol,12:31,1,2,.500,0,0,,0,0,,1,3,4,1,0,1,0,2,2,-8,12:31,.500,.500,.000,.000,8.1,24.9,16.4,11.2,0.0,7.6,0.0,7.4,135,102,-1.7
David Roddy,5:26,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,+4,5:26,1.042,1.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,222,115,5.0
Udoka Azubuike,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Thaddeus Young,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,42,96,.438,15,34,.441,18,22,.818,11,41,52,32,9,7,9,19,117,,265,.554,.516,.354,.229,21.2,80.4,50.5,76.2,8.8,12.5,7.8,100.0,113.8,104.1,
