Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Collin Sexton,34:44,7,17,.412,5,11,.455,5,6,.833,0,4,4,7,0,0,2,2,24,+4,34:44,.611,.559,.647,.353,0.0,14.5,6.6,28.2,0.0,0.0,9.2,26.5,129,131,1.5
John Collins,32:13,11,20,.550,2,9,.222,1,2,.500,2,11,13,0,1,2,0,1,25,+4,32:13,.599,.600,.450,.100,6.5,43.1,23.1,0.0,1.6,5.8,0.0,27.5,126,117,4.0
Brice Sensabaugh,29:44,5,8,.625,2,4,.500,3,3,1.000,3,9,12,1,0,0,1,2,15,+1,29:44,.805,.750,.500,.375,10.5,38.2,23.1,4.5,0.0,0.0,9.7,14.7,156,127,2.0
Kris Dunn,29:21,5,6,.833,1,1,1.000,0,0,,2,0,2,5,1,0,1,1,11,-1,29:21,.917,.917,.167,.000,7.1,0.0,3.9,22.8,1.7,0.0,14.3,10.1,170,129,3.6
Luka Šamanić,19:29,3,9,.333,1,4,.250,0,0,,2,1,3,1,0,0,2,2,7,-2,19:29,.389,.389,.444,.000,10.7,6.5,8.8,6.7,0.0,0.0,18.2,24.0,81,132,-16.3
Jordan Clarkson,34:20,5,17,.294,2,9,.222,3,3,1.000,0,0,0,5,1,0,2,3,15,-3,34:20,.409,.353,.529,.176,0.0,0.0,0.0,18.9,1.5,0.0,9.8,25.1,95,130,-11.2
Talen Horton-Tucker,24:02,2,8,.250,2,5,.400,2,2,1.000,0,3,3,5,0,2,1,1,8,-10,24:02,.450,.375,.625,.250,0.0,15.8,7.1,25.0,0.0,7.8,10.1,17.5,112,124,-1.2
Johnny Juzang,20:20,1,5,.200,0,3,.000,0,0,,1,2,3,1,0,0,1,0,2,+3,20:20,.200,.200,.600,.000,5.1,12.4,8.4,5.7,0.0,0.0,16.7,12.5,59,131,-16.0
Omer Yurtseven,15:47,5,6,.833,0,1,.000,0,0,,4,1,5,3,1,3,0,2,10,-6,15:47,.833,.833,.167,.000,26.4,8.0,18.1,31.7,3.2,17.9,0.0,16.1,188,109,21.2
Kira Lewis Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Micah Potter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jason Preston,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,96,.458,15,47,.319,14,16,.875,14,31,45,28,4,7,10,14,117,,240,.568,.536,.490,.167,30.4,81.6,53.6,63.6,4.2,13.7,8.8,100.0,123.4,125.5,
