Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaylen Brown,41:04,16,29,.552,2,7,.286,7,14,.500,6,8,14,4,2,0,2,4,41,+5,41:04,.583,.586,.241,.483,14.0,22.3,17.8,21.0,2.4,0.0,5.4,38.1,122,115,12.1
Jayson Tatum,38:39,5,13,.385,2,5,.400,3,4,.750,1,3,4,8,2,0,5,4,15,-2,38:39,.508,.462,.385,.308,2.5,8.9,5.4,28.6,2.5,0.0,25.3,21.5,95,117,0.2
Derrick White,36:57,3,8,.375,0,4,.000,1,1,1.000,1,4,5,6,1,1,1,4,7,-2,36:57,.415,.375,.500,.125,2.6,12.4,7.1,21.0,1.3,1.9,10.6,10.8,107,117,-1.2
Kristaps Porziņģis,35:16,9,23,.391,3,10,.300,3,4,.750,2,10,12,2,1,1,3,2,24,+6,35:16,.485,.457,.435,.174,5.4,32.4,17.8,9.5,1.4,2.0,10.8,33.1,95,114,1.3
Jrue Holiday,34:55,5,10,.500,2,6,.333,0,0,,1,3,4,2,0,0,1,2,12,-6,34:55,.600,.600,.600,.000,2.7,9.8,6.0,8.1,0.0,0.0,9.1,13.3,117,123,-1.3
Al Horford,18:51,0,2,.000,0,1,.000,2,2,1.000,1,3,4,0,0,0,0,1,2,-10,18:51,.347,.000,.500,1.000,5.1,18.2,11.1,0.0,0.0,0.0,0.0,6.4,101,121,-6.7
Xavier Tillman Sr.,13:25,1,2,.500,0,1,.000,0,0,,1,3,4,1,0,0,0,0,2,-12,13:25,.500,.500,.500,.000,7.2,25.6,15.6,9.6,0.0,0.0,0.0,6.3,136,120,0.9
Payton Pritchard,10:36,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1,10:36,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,124,-13.1
Sam Hauser,10:17,2,3,.667,2,3,.667,0,0,,0,0,0,1,0,1,0,0,6,-8,10:17,1.000,1.000,1.000,.000,0.0,0.0,0.0,14.7,0.0,6.8,0.0,12.3,195,118,19.7
Oshae Brissett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luke Kornet,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Svi Mykhailiuk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jaden Springer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,91,.451,11,38,.289,16,25,.640,13,34,47,24,6,3,12,18,109,,240,.534,.511,.418,.275,26.0,81.0,51.1,58.5,6.1,4.3,10.5,100.0,111.4,117.5,
