Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nikola Jokić,38:45,11,19,.579,0,0,,10,10,1.000,4,8,12,11,2,0,0,1,32,+9,38:45,.684,.579,.000,.526,11.8,19.8,16.2,43.4,2.5,0.0,0.0,27.2,156,110,21.8
Jamal Murray,37:00,7,18,.389,1,4,.250,4,4,1.000,0,6,6,8,2,0,5,2,19,+4,37:00,.481,.417,.222,.222,0.0,15.6,8.5,28.9,2.7,0.0,20.2,30.1,89,110,-2.6
Aaron Gordon,34:01,8,15,.533,0,2,.000,0,0,,3,6,9,1,1,0,0,2,16,-6,34:01,.533,.533,.133,.000,10.1,16.9,13.8,4.2,1.4,0.0,0.0,19.8,117,113,-0.6
Kentavious Caldwell-Pope,33:54,4,7,.571,1,4,.250,2,2,1.000,0,3,3,1,3,0,2,3,11,-3,33:54,.698,.643,.571,.286,0.0,8.5,4.6,3.6,4.3,0.0,20.2,13.1,108,109,0.3
Michael Porter Jr.,30:06,4,9,.444,1,4,.250,0,0,,0,2,2,1,0,0,0,4,9,-4,30:06,.500,.500,.444,.000,0.0,6.4,3.5,4.1,0.0,0.0,0.0,13.5,103,119,-6.5
Peyton Watson,17:15,5,9,.556,1,4,.250,0,0,,0,4,4,1,1,2,0,1,11,+11,17:15,.611,.611,.444,.000,0.0,22.3,12.1,9.0,2.8,10.5,0.0,23.5,120,102,11.2
Christian Braun,16:40,2,3,.667,0,1,.000,3,4,.750,1,5,6,1,0,0,0,4,7,+9,16:40,.735,.667,.333,1.333,6.9,28.8,18.8,7.3,0.0,0.0,0.0,12.9,161,110,0.7
Justin Holiday,13:08,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,1,0,1,2,+6,13:08,.500,.500,.500,.000,0.0,0.0,0.0,8.8,0.0,6.9,0.0,6.9,115,117,-1.2
Reggie Jackson,11:03,2,7,.286,0,1,.000,0,0,,0,1,1,2,0,1,0,0,4,+2,11:03,.286,.286,.143,.000,0.0,8.7,4.7,23.9,0.0,8.2,0.0,28.5,73,114,-6.1
Zeke Nnaji,8:08,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,1,0,0,1,4,+2,8:08,1.064,1.000,.000,2.000,0.0,23.6,12.8,0.0,6.0,0.0,0.0,10.4,227,100,11.1
Jay Huff,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Pickett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Julian Strawther,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Hunter Tyson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,90,.500,4,21,.190,21,22,.955,8,37,45,27,10,4,7,19,115,,240,.577,.522,.233,.244,19.0,74.0,48.9,60.0,10.2,7.5,6.6,100.0,117.5,111.4,
