Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Mikal Bridges,43:10,4,11,.364,3,7,.429,2,4,.500,1,0,1,7,1,0,3,1,13,-6,43:10,.509,.500,.636,.364,2.7,0.0,1.4,21.3,1.1,0.0,19.0,16.5,103,127,-5.9
Dennis Schröder,38:35,12,17,.706,5,7,.714,2,3,.667,0,1,1,8,0,0,3,1,31,-2,38:35,.846,.853,.412,.176,0.0,3.4,1.6,38.2,0.0,0.0,14.1,25.0,147,129,7.4
Dorian Finney-Smith,36:46,5,9,.556,3,7,.429,0,0,,0,3,3,0,3,1,1,2,13,+7,36:46,.722,.722,.778,.000,0.0,10.6,5.0,0.0,3.9,2.5,10.0,12.3,115,116,0.2
Nic Claxton,34:13,5,8,.625,0,0,,5,7,.714,1,9,10,2,1,3,1,2,15,+3,34:13,.677,.625,.000,.875,3.4,34.1,18.0,8.3,1.4,8.1,8.3,16.0,133,112,1.4
Dennis Smith Jr.,23:34,3,10,.300,1,4,.250,2,2,1.000,0,2,2,3,4,0,1,6,9,-2,23:34,.414,.350,.400,.200,0.0,11.0,5.2,17.5,8.2,0.0,8.4,22.8,88,107,-5.3
Lonnie Walker IV,29:05,8,18,.444,5,14,.357,0,0,,0,4,4,1,0,0,2,3,21,-2,29:05,.583,.583,.778,.000,0.0,17.8,8.5,5.9,0.0,0.0,10.0,31.2,97,124,-6.4
Trendon Watford,11:25,2,4,.500,0,0,,2,2,1.000,0,2,2,0,0,0,2,0,6,-2,11:25,.615,.500,.000,.500,0.0,22.7,10.8,0.0,0.0,0.0,29.1,27.3,83,123,-13.8
Noah Clowney,9:40,0,0,,0,0,,0,0,,0,2,2,2,2,0,0,1,0,-3,9:40,,,,,0.0,26.8,12.7,24.2,10.0,0.0,,0.0,241,98,10.1
Jalen Wilson,9:23,1,4,.250,0,2,.000,0,0,,1,0,1,0,0,0,1,1,2,-17,9:23,.250,.250,.500,.000,12.5,0.0,6.6,0.0,0.0,0.0,20.0,24.1,55,129,-24.7
Keita Bates-Diop,4:07,1,3,.333,0,0,,0,0,,1,1,2,1,1,0,0,0,2,-6,4:07,.333,.333,.000,.000,28.4,31.5,29.9,39.7,11.8,0.0,0.0,33.0,102,93,8.4
Keon Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cam Thomas,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,41,84,.488,17,41,.415,13,18,.722,4,24,28,24,12,4,14,17,112,,240,.609,.589,.488,.214,9.8,64.9,35.9,58.5,12.1,7.7,13.2,100.0,112.9,118.9,
