Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Rudy Gobert,39:41,7,11,.636,0,0,,4,5,.800,6,8,14,0,2,3,2,2,18,+6,39:41,.682,.636,.000,.455,16.1,23.0,19.5,0.0,2.4,6.5,13.2,15.9,133,106,3.6
Anthony Edwards,38:36,18,35,.514,3,7,.429,5,8,.625,2,4,6,3,2,2,0,1,44,+2,38:36,.571,.557,.200,.229,5.5,11.8,8.6,15.8,2.5,4.4,0.0,41.5,126,110,16.6
Mike Conley,30:22,2,9,.222,1,6,.167,0,0,,1,4,5,4,2,0,2,1,5,0,30:22,.278,.278,.667,.000,3.5,15.1,9.1,14.8,3.2,0.0,18.2,15.1,72,111,-6.7
Jaden McDaniels,27:53,4,7,.571,1,1,1.000,2,2,1.000,1,7,8,6,0,0,0,4,11,+7,27:53,.698,.643,.143,.286,3.8,28.7,15.8,26.4,0.0,0.0,0.0,11.8,165,116,7.4
Kyle Anderson,27:40,1,5,.200,0,0,,1,2,.500,0,3,3,4,0,0,1,6,3,+8,27:40,.255,.200,.000,.400,0.0,12.4,6.0,15.7,0.0,0.0,14.5,10.3,75,118,-11.5
Nickeil Alexander-Walker,27:52,4,10,.400,0,4,.000,2,2,1.000,1,1,2,2,2,0,2,3,10,-4,27:52,.460,.400,.400,.200,3.8,4.1,4.0,8.8,3.5,0.0,15.5,19.2,93,112,-5.0
Naz Reid,26:03,6,15,.400,1,4,.250,0,0,,2,6,8,2,1,1,2,2,13,-12,26:03,.433,.433,.267,.000,8.2,26.3,16.9,10.5,1.9,3.3,11.8,27.2,91,110,-2.5
T.J. Warren,16:05,3,5,.600,1,3,.333,0,0,,0,1,1,0,0,0,0,1,7,+3,16:05,.700,.700,.600,.000,0.0,7.1,3.4,0.0,0.0,0.0,0.0,12.9,143,119,-0.2
Monte Morris,5:48,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,0,0,2,0,5:48,1.000,1.000,.000,.000,0.0,19.7,9.5,43.9,0.0,0.0,0.0,7.2,206,118,11.7
Luka Garza,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan McLaughlin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Minott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Wendell Moore Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,98,.469,7,25,.280,14,19,.737,13,35,48,23,9,6,9,20,113,,240,.531,.505,.255,.194,28.9,83.3,55.2,50.0,9.1,10.7,7.8,100.0,114.4,112.4,
