Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Haliburton,37:18,9,15,.600,2,7,.286,3,4,.750,0,3,3,13,1,0,5,1,23,-1,37:18,.686,.667,.467,.267,0.0,8.6,4.4,55.0,1.3,0.0,23.0,26.1,122,118,5.8
Pascal Siakam,33:35,10,20,.500,1,3,.333,3,3,1.000,2,2,4,2,0,0,2,1,24,+8,33:35,.563,.525,.150,.150,6.8,6.4,6.6,10.3,0.0,0.0,8.6,31.1,108,122,-1.8
Andrew Nembhard,30:33,3,5,.600,1,2,.500,0,0,,2,4,6,3,1,0,3,4,7,+8,30:33,.700,.700,.400,.000,7.5,14.0,10.8,12.6,1.6,0.0,37.5,11.7,103,116,-3.1
Aaron Nesmith,30:17,2,10,.200,1,4,.250,3,3,1.000,0,4,4,1,0,2,0,3,8,+2,30:17,.353,.250,.400,.300,0.0,14.1,7.3,4.1,0.0,4.3,0.0,16.7,80,116,-6.6
Myles Turner,20:49,4,8,.500,1,3,.333,3,5,.600,1,6,7,1,0,4,2,5,12,+1,20:49,.588,.563,.375,.625,5.5,30.7,18.6,7.0,0.0,12.6,16.4,26.3,102,104,1.1
Jalen Smith,20:22,5,5,1.000,1,1,1.000,3,6,.500,1,1,2,4,0,1,0,1,14,-3,20:22,.916,1.100,.200,1.200,5.6,5.2,5.4,31.2,0.0,3.2,0.0,16.8,189,120,18.8
Ben Sheppard,18:31,2,4,.500,2,2,1.000,0,0,,0,4,4,0,0,0,0,4,6,-7,18:31,.750,.750,.500,.000,0.0,23.0,11.9,0.0,0.0,0.0,0.0,9.7,138,116,-1.6
Jarace Walker,15:40,2,4,.500,1,2,.500,0,0,,1,4,5,1,1,0,0,2,5,-2,15:40,.625,.625,.500,.000,7.3,27.2,17.6,8.5,3.1,0.0,0.0,11.4,137,109,4.8
Obi Toppin,14:25,1,3,.333,0,1,.000,0,0,,0,3,3,0,0,2,1,2,2,-10,14:25,.333,.333,.333,.000,0.0,22.2,11.5,0.0,0.0,9.1,25.0,12.4,48,110,-7.5
T.J. McConnell,11:41,3,7,.429,0,1,.000,0,0,,0,1,1,1,2,0,2,0,6,-6,11:41,.429,.429,.143,.000,0.0,9.1,4.7,13.8,8.3,0.0,22.2,34.5,68,103,-4.2
Isaiah Jackson,6:49,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,1,0,1,4,0,6:49,1.064,1.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,9.6,0.0,12.4,228,116,8.7
Kendall Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Oscar Tshiebwe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,82,.512,10,26,.385,17,23,.739,7,32,39,26,5,10,15,24,111,,240,.602,.573,.317,.280,16.7,71.1,44.8,61.9,5.1,13.7,14.0,100.0,112.4,114.4,
