Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Domantas Sabonis,37:55,14,19,.737,1,1,1.000,2,3,.667,5,12,17,9,1,1,4,2,31,-5,37:55,.763,.763,.053,.158,15.1,37.1,25.9,33.2,1.2,2.2,16.4,25.0,141,122,12.5
De'Aaron Fox,35:04,14,32,.438,1,7,.143,4,4,1.000,2,3,5,5,3,0,1,6,33,0,35:04,.489,.453,.219,.125,6.5,10.0,8.2,20.8,4.0,0.0,2.9,38.7,115,123,-2.5
Keegan Murray,30:54,1,4,.250,1,3,.333,0,0,,0,3,3,0,0,0,0,2,3,-10,30:54,.375,.375,.750,.000,0.0,11.4,5.6,0.0,0.0,0.0,0.0,5.1,89,132,-11.3
Harrison Barnes,30:24,6,9,.667,0,2,.000,5,5,1.000,1,0,1,2,0,0,0,1,17,-2,30:24,.759,.667,.222,.556,3.8,0.0,1.9,7.4,0.0,0.0,0.0,14.4,169,134,-0.6
Kevin Huerter,16:23,0,5,.000,0,3,.000,0,0,,1,1,2,2,1,1,1,1,0,-10,16:23,.000,.000,.600,.000,7.0,7.1,7.1,11.3,2.9,5.1,16.7,14.3,37,122,-14.4
Malik Monk,30:24,6,17,.353,2,7,.286,4,4,1.000,0,7,7,9,1,1,6,1,18,+13,30:24,.480,.412,.412,.235,0.0,27.0,13.3,33.4,1.5,2.7,24.2,31.8,94,123,-5.2
Trey Lyles,17:43,3,5,.600,1,2,.500,2,2,1.000,2,3,5,2,0,0,0,1,9,+4,17:43,.765,.700,.400,.400,12.9,19.8,16.3,12.4,0.0,0.0,0.0,13.0,177,130,4.4
Keon Ellis,17:25,4,6,.667,3,5,.600,0,0,,2,1,3,0,2,0,0,0,11,+15,17:25,.917,.917,.833,.000,13.1,6.7,10.0,0.0,5.4,0.0,0.0,13.5,187,120,13.2
Davion Mitchell,14:19,4,5,.800,1,2,.500,0,0,,0,0,0,0,0,0,0,1,9,-2,14:19,.900,.900,.400,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,178,134,0.2
Alex Len,9:29,0,0,,0,0,,0,0,,1,2,3,2,0,0,1,0,0,+7,9:29,,,,,12.1,24.7,18.3,19.5,0.0,0.0,100.0,4.1,100,129,-2.3
Chris Duarte,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kessler Edwards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Colby Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
JaVale McGee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Slawson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,52,102,.510,10,32,.313,17,18,.944,14,32,46,31,8,3,13,15,131,,240,.596,.559,.314,.176,33.3,78.0,55.4,59.6,7.8,5.2,10.6,100.0,127.7,125.7,
