Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Immanuel Quickley,39:31,9,17,.529,2,7,.286,1,2,.500,0,9,9,18,1,0,2,0,21,+2,39:31,.587,.588,.412,.118,0.0,29.5,12.9,68.2,1.2,0.0,10.1,22.0,135,121,10.9
RJ Barrett,37:10,9,16,.563,3,4,.750,2,3,.667,1,1,2,4,1,1,1,4,23,-7,37:10,.664,.656,.250,.188,2.7,3.5,3.0,16.5,1.3,2.5,5.5,21.6,129,125,3.6
Gary Trent Jr.,35:55,11,22,.500,5,13,.385,3,3,1.000,1,2,3,0,0,0,0,1,30,-7,35:55,.643,.614,.591,.136,2.8,7.2,4.7,0.0,0.0,0.0,0.0,28.4,125,129,2.2
Kelly Olynyk,27:56,3,9,.333,1,6,.167,1,2,.500,1,3,4,2,2,0,1,6,8,-1,27:56,.405,.389,.667,.222,3.6,13.9,8.1,9.1,3.5,0.0,9.2,17.1,88,119,-9.2
Ochai Agbaji,23:40,1,6,.167,0,1,.000,1,2,.500,1,3,4,1,1,0,2,4,3,-8,23:40,.218,.167,.167,.333,4.2,16.4,9.5,5.0,2.1,0.0,22.5,16.4,50,122,-16.7
Gradey Dick,30:37,4,12,.333,4,10,.400,0,0,,0,2,2,0,0,0,1,2,12,-11,30:37,.500,.500,.833,.000,0.0,8.5,3.7,0.0,0.0,0.0,7.7,18.6,86,128,-9.0
Chris Boucher,23:42,5,6,.833,0,0,,1,1,1.000,5,4,9,2,0,0,2,2,11,0,23:42,.854,.833,.000,.167,21.1,21.9,21.4,12.3,0.0,0.0,23.7,15.6,146,125,0.9
Javon Freeman-Liberty,18:00,1,4,.250,1,2,.500,2,2,1.000,0,3,3,2,0,1,0,1,5,+2,18:00,.512,.375,.500,.500,0.0,21.6,9.4,13.2,0.0,5.2,0.0,11.9,124,122,-0.7
Jordan Nwora,3:29,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-5,3:29,.000,.000,.500,.000,0.0,0.0,0.0,32.0,0.0,0.0,0.0,25.1,33,130,-20.6
Jalen McDaniels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jontay Porter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,94,.457,16,44,.364,11,15,.733,9,27,36,30,5,2,9,20,113,,240,.562,.543,.468,.160,18.8,73.0,42.4,69.8,5.1,3.9,8.2,100.0,116.1,123.3,
