Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyle Kuzma,39:56,11,23,.478,0,7,.000,6,6,1.000,0,8,8,9,1,2,2,3,28,+21,39:56,.546,.478,.304,.261,0.0,16.9,9.4,36.3,1.2,4.1,7.2,30.7,116,101,4.5
Richaun Holmes,36:02,5,5,1.000,0,0,,4,4,1.000,3,8,11,1,1,1,0,5,14,+23,36:02,1.036,1.000,.000,.800,8.9,18.7,14.4,3.7,1.4,2.3,0.0,8.3,216,101,2.7
Deni Avdija,35:03,8,14,.571,1,2,.500,1,3,.333,3,11,14,2,0,2,1,2,18,+9,35:03,.587,.607,.143,.214,9.1,26.4,18.8,8.5,0.0,4.7,6.1,20.7,119,100,0.2
Bilal Coulibaly,27:05,4,7,.571,1,4,.250,2,2,1.000,1,3,4,0,1,1,2,3,11,0,27:05,.698,.643,.571,.286,3.9,9.3,7.0,0.0,1.8,3.1,20.2,16.2,111,104,-4.2
Tyus Jones,21:45,3,7,.429,1,4,.250,0,0,,0,4,4,4,0,1,1,1,7,-4,21:45,.500,.500,.571,.000,0.0,15.5,8.7,24.3,0.0,3.8,12.5,16.3,104,105,-4.6
Jordan Poole,34:05,6,17,.353,2,10,.200,1,2,.500,1,4,5,7,2,3,4,2,15,+8,34:05,.419,.412,.588,.118,3.1,9.9,6.9,28.5,2.9,7.3,18.3,28.5,85,98,-2.0
Corey Kispert,30:00,3,7,.429,1,5,.200,6,6,1.000,0,4,4,2,0,0,0,0,13,+19,30:00,.674,.500,.714,.857,0.0,11.2,6.3,8.4,0.0,0.0,0.0,14.3,149,109,-1.7
Johnny Davis,7:31,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,1,2,0,-7,7:31,.000,.000,.000,.000,14.2,11.2,12.5,0.0,0.0,11.0,50.0,11.8,38,101,-15.2
Eugene Omoruyi,6:10,2,5,.400,0,1,.000,0,0,,1,1,2,0,0,0,0,2,4,-6,6:10,.400,.400,.200,.000,17.3,13.7,15.3,0.0,0.0,0.0,0.0,36.0,92,107,-17.7
Anthony Gill,2:23,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-3,2:23,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,200,114,7.9
Patrick Baldwin Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jules Bernard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
R.J. Hampton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,87,.494,6,33,.182,20,23,.870,10,44,54,25,5,11,11,20,112,,240,.577,.529,.379,.264,22.2,77.2,52.9,58.1,5.1,19.0,10.2,100.0,114.8,102.5,
