Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jabari Smith Jr.,39:00,5,11,.455,3,7,.429,2,2,1.000,1,8,9,4,2,2,2,2,15,+11,39:00,.631,.591,.636,.182,2.8,18.9,11.5,12.7,2.6,4.6,14.4,15.2,122,108,0.9
Fred VanVleet,34:11,5,13,.385,4,8,.500,4,4,1.000,0,1,1,10,1,0,0,1,18,+12,34:11,.610,.538,.615,.308,0.0,2.7,1.5,37.0,1.5,0.0,0.0,18.4,154,122,3.5
Jalen Green,34:06,11,19,.579,4,9,.444,1,2,.500,0,3,3,5,2,0,2,1,27,+2,34:06,.679,.684,.474,.105,0.0,8.1,4.4,23.8,3.0,0.0,9.1,27.4,128,115,5.4
Alperen Sengun,31:31,7,15,.467,0,0,,5,8,.625,5,4,9,6,1,1,1,2,19,+2,31:31,.513,.467,.000,.533,17.3,11.7,14.3,26.6,1.6,2.8,5.1,26.4,128,115,1.3
Dillon Brooks,21:17,1,5,.200,1,3,.333,1,2,.500,0,3,3,1,1,0,0,1,4,-6,21:17,.340,.300,.600,.400,0.0,13.0,7.0,5.3,2.4,0.0,0.0,11.8,88,114,-10.8
Amen Thompson,26:28,7,10,.700,0,1,.000,2,2,1.000,1,7,8,3,2,5,1,3,16,+24,26:28,.735,.700,.100,.200,4.1,24.4,15.1,16.8,3.8,16.8,8.4,19.2,144,96,12.4
Cam Whitmore,23:51,4,10,.400,1,5,.200,4,6,.667,4,4,8,0,1,1,1,2,13,+19,23:51,.514,.450,.500,.600,18.3,15.5,16.8,0.0,2.1,3.7,7.3,24.4,116,111,-6.0
Aaron Holiday,14:47,3,7,.429,0,3,.000,0,0,,0,1,1,1,2,0,0,2,6,+6,14:47,.429,.429,.429,.000,0.0,6.2,3.4,9.2,6.8,0.0,0.0,20.2,99,107,-6.9
Jock Landale,13:21,2,4,.500,1,1,1.000,0,0,,2,1,3,3,0,1,0,1,5,+10,13:21,.625,.625,.250,.000,16.3,6.9,11.2,28.5,0.0,6.7,0.0,12.8,164,120,7.1
Jeenathan Williams,1:28,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0,1:28,,,,,74.4,62.9,68.2,0.0,0.0,0.0,,0.0,225,92,6.6
Reggie Bullock,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeff Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jae'Sean Tate,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,94,.479,14,37,.378,19,26,.731,14,33,47,33,12,10,7,15,123,,240,.583,.553,.394,.277,31.8,63.5,49.0,73.3,12.6,18.5,6.2,100.0,129.2,112.4,
