Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dalano Banton,38:23,10,27,.370,4,10,.400,6,8,.750,1,7,8,5,1,1,2,2,30,-9,38:23,.491,.444,.370,.296,2.4,19.9,10.4,25.5,1.3,2.2,6.2,34.8,114,127,1.5
Anfernee Simons,33:40,7,14,.500,4,7,.571,5,7,.714,0,3,3,3,3,0,6,2,23,-14,33:40,.673,.643,.500,.500,0.0,9.7,4.5,15.8,4.5,0.0,26.0,28.1,104,124,0.7
Kris Murray,33:22,5,12,.417,1,6,.167,1,2,.500,4,7,11,7,0,1,2,0,12,-3,33:22,.466,.458,.500,.167,11.1,22.9,16.5,33.8,0.0,2.5,13.4,18.3,117,129,1.8
Duop Reath,32:00,6,13,.462,4,6,.667,0,0,,3,3,6,3,0,1,1,5,16,-3,32:00,.615,.615,.462,.000,8.7,10.2,9.4,16.1,0.0,2.6,7.1,17.9,136,132,0.8
Toumani Camara,30:16,2,4,.500,1,2,.500,4,4,1.000,3,4,7,0,1,0,1,1,9,-3,30:16,.781,.625,.500,1.000,9.1,14.4,11.6,0.0,1.7,0.0,14.8,9.2,152,129,-1.9
Rayan Rupert,22:28,1,1,1.000,0,0,,0,0,,1,1,2,2,0,0,3,2,2,-8,22:28,1.000,1.000,.000,.000,4.1,4.9,4.5,12.3,0.0,0.0,75.0,7.3,68,136,-11.7
Matisse Thybulle,19:29,2,5,.400,1,2,.500,0,2,.000,3,0,3,0,0,1,1,2,5,-22,19:29,.425,.500,.400,.400,14.2,0.0,7.7,0.0,0.0,4.3,14.5,14.5,91,135,-8.0
Ashton Hagans,18:28,2,6,.333,1,2,.500,1,2,.500,1,3,4,2,0,1,1,2,6,-11,18:28,.436,.417,.333,.333,5.0,17.7,10.8,16.3,0.0,4.6,12.7,17.5,101,129,-5.9
Moses Brown,10:29,2,6,.333,0,0,,0,0,,3,2,5,0,0,0,0,0,4,-7,10:29,.333,.333,.000,.000,26.4,20.8,23.8,0.0,0.0,0.0,0.0,23.5,100,131,-12.2
Justin Minaya,1:25,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,1:25,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0,138,-38.9
Ibou Badji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Shaedon Sharpe,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,37,89,.416,16,35,.457,17,25,.680,19,30,49,22,5,5,17,16,107,,240,.535,.506,.393,.281,36.5,68.2,51.0,59.5,5.3,8.8,14.5,100.0,112.4,129.2,
