Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jayson Tatum,42:16,11,28,.393,5,9,.556,2,2,1.000,3,7,10,7,1,0,4,0,29,+4,42:16,.502,.482,.321,.071,7.7,19.9,13.5,23.7,1.2,0.0,12.2,33.4,107,113,2.4
Jrue Holiday,35:44,5,7,.714,3,5,.600,2,2,1.000,0,3,3,6,2,1,3,1,15,+6,35:44,.952,.929,.714,.286,0.0,10.1,4.8,20.5,2.8,2.4,27.6,13.1,141,109,9.6
Derrick White,34:32,5,8,.625,0,3,.000,0,0,,2,3,5,9,0,1,2,3,10,+1,34:32,.625,.625,.375,.000,6.3,10.4,8.3,32.0,0.0,2.5,20.0,12.4,135,115,2.8
Jaylen Brown,34:25,10,21,.476,3,7,.429,4,7,.571,1,2,3,3,2,0,2,1,27,+6,34:25,.561,.548,.333,.333,3.2,7.0,5.0,13.1,2.9,0.0,7.7,32.6,113,111,3.2
Al Horford,32:11,4,12,.333,1,7,.143,0,0,,3,9,12,3,1,0,1,4,9,0,32:11,.375,.375,.583,.000,10.2,33.6,21.3,11.2,1.6,0.0,7.7,17.4,99,108,-4.7
Payton Pritchard,22:31,4,6,.667,2,4,.500,0,0,,1,1,2,1,1,0,0,0,10,+13,22:31,.833,.833,.667,.000,4.8,5.3,5.1,5.7,2.2,0.0,0.0,11.4,172,114,7.1
Luke Kornet,19:48,6,7,.857,0,0,,2,2,1.000,3,3,6,0,0,1,0,2,14,+12,19:48,.888,.857,.000,.286,16.5,18.2,17.3,0.0,0.0,4.3,0.0,17.1,188,112,9.3
Sam Hauser,17:49,1,5,.200,1,4,.250,0,0,,0,2,2,0,0,1,0,0,3,+10,17:49,.300,.300,.800,.000,0.0,13.5,6.4,0.0,0.0,4.8,0.0,12.1,70,113,-7.0
JD Davison,0:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1,0:22,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-8.4
Jaden Springer,0:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1,0:22,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,97,-56.6
Oshae Brissett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Svi Mykhailiuk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Xavier Tillman Sr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,94,.489,15,39,.385,10,13,.769,13,30,43,29,7,4,12,12,117,,240,.587,.569,.415,.138,29.5,75.0,51.2,63.0,7.3,7.1,10.7,100.0,121.9,111.5,
