Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandin Podziemski,30:37,2,7,.286,1,1,1.000,3,4,.750,4,2,6,7,1,1,2,0,8,-8,30:37,.457,.357,.143,.571,13.6,7.5,10.7,29.0,1.6,3.0,18.6,15.0,115,130,1.3
Jonathan Kuminga,30:21,10,17,.588,0,1,.000,6,8,.750,0,3,3,2,1,0,2,4,26,-8,30:21,.634,.588,.059,.471,0.0,11.3,5.4,12.6,1.6,0.0,8.9,31.6,116,131,-1.8
Chris Paul,29:13,4,9,.444,2,3,.667,0,0,,0,4,4,9,3,0,0,1,10,-3,29:13,.556,.556,.333,.000,0.0,15.6,7.5,42.9,5.0,0.0,0.0,13.1,139,122,6.8
Draymond Green,27:54,3,6,.500,1,3,.333,0,0,,2,3,5,4,2,1,3,2,7,-8,27:54,.583,.583,.500,.000,7.5,12.3,9.8,19.2,3.5,3.2,33.3,13.7,98,124,-2.1
Trayce Jackson-Davis,23:40,5,5,1.000,0,0,,1,5,.200,1,5,6,0,1,3,1,4,11,-5,23:40,.764,1.000,.000,1.000,4.4,24.1,13.8,0.0,2.0,11.5,12.2,14.7,120,119,-0.4
Moses Moody,26:16,2,11,.182,0,6,.000,5,6,.833,1,4,5,0,0,1,1,2,9,-9,26:16,.330,.182,.545,.545,4.0,17.4,10.4,0.0,0.0,3.4,6.8,23.7,72,131,-16.7
Andrew Wiggins,26:14,5,12,.417,1,3,.333,0,0,,1,5,6,1,1,0,0,3,11,-6,26:14,.458,.458,.250,.000,4.0,21.8,12.5,5.7,1.8,0.0,0.0,19.5,99,127,-7.1
Klay Thompson,24:51,8,16,.500,5,10,.500,6,6,1.000,0,2,2,1,0,1,3,4,27,+2,24:51,.724,.656,.625,.375,0.0,9.2,4.4,7.6,0.0,3.6,13.9,37.1,119,133,4.2
Lester Quinones,8:58,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,1,2,-11,8:58,.333,.333,.667,.000,0.0,12.7,6.1,0.0,0.0,0.0,0.0,14.2,68,134,-16.0
Gui Santos,5:31,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+1,5:31,,,,,0.0,20.7,9.9,21.2,0.0,0.0,,0.0,224,132,-5.1
Dario Šarić,3:13,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,2,2,-6,3:13,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,94,136,-20.5
Jerome Robinson,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,1:36,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,138,-9.6
Pat Spencer,1:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2,1:36,,,,,0.0,0.0,0.0,73.2,0.0,0.0,,0.0,224,138,7.7
Kevon Looney,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,88,.466,10,30,.333,21,29,.724,9,30,39,26,9,7,12,24,113,,240,.561,.523,.341,.330,19.6,71.4,44.3,63.4,9.1,13.2,10.6,100.0,114.1,127.2,
