Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Immanuel Quickley,43:36,10,21,.476,4,10,.400,5,7,.714,0,3,3,7,1,0,6,1,29,-13,43:36,.602,.571,.476,.333,0.0,7.0,3.8,27.6,1.2,0.0,19.9,30.6,104,127,-4.7
Gary Trent Jr.,41:47,10,26,.385,3,12,.250,0,1,.000,2,3,5,3,2,0,2,2,23,-12,41:47,.435,.442,.462,.038,5.9,7.3,6.7,12.6,2.4,0.0,7.0,30.2,90,124,-10.1
Gradey Dick,39:04,3,10,.300,2,7,.286,0,0,,2,3,5,2,0,0,0,3,8,+1,39:04,.400,.400,.700,.000,6.3,7.8,7.1,7.0,0.0,0.0,0.0,11.4,102,129,-10.5
Kelly Olynyk,32:27,6,10,.600,3,4,.750,0,0,,2,4,6,8,2,2,5,4,15,-13,32:27,.750,.750,.400,.000,7.6,12.6,10.3,39.4,3.1,5.2,33.3,20.5,115,117,5.3
Ochai Agbaji,21:47,2,7,.286,1,4,.250,2,2,1.000,0,1,1,1,1,0,0,0,7,-9,21:47,.444,.357,.571,.286,0.0,4.7,2.6,6.4,2.3,0.0,0.0,16.1,101,125,-7.0
Chris Boucher,31:15,4,5,.800,2,3,.667,6,6,1.000,1,7,8,2,0,3,3,2,16,+3,31:15,1.047,1.000,.600,1.200,3.9,22.8,14.3,9.4,0.0,8.1,28.2,15.1,147,118,4.5
Jalen McDaniels,24:37,2,3,.667,0,0,,0,0,,1,9,10,3,2,1,1,3,4,-7,24:37,.667,.667,.000,.000,5.0,37.3,22.7,16.7,4.1,3.4,25.0,7.2,128,105,2.8
Javon Freeman-Liberty,18:05,2,3,.667,0,1,.000,2,2,1.000,1,3,4,2,0,0,3,3,6,-2,18:05,.773,.667,.333,.667,6.8,16.9,12.3,15.8,0.0,0.0,43.6,16.9,100,125,-10.8
Jordan Nwora,12:20,4,6,.667,1,2,.500,1,1,1.000,0,1,1,1,1,0,0,0,10,+2,12:20,.776,.750,.333,.167,0.0,8.3,4.5,16.6,4.1,0.0,0.0,23.2,153,120,11.3
Jontay Porter,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0:00,,,,,,,,,,,,,,,-11.9
RJ Barrett,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Jahmi'us Ramsey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,43,91,.473,16,43,.372,16,19,.842,9,34,43,29,9,6,20,18,118,,265,.594,.560,.473,.209,20.9,65.4,45.3,67.4,8.5,9.5,16.8,100.0,111.9,121.4,
