Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
James Harden,36:26,5,16,.313,1,6,.167,2,2,1.000,3,2,5,11,0,0,5,4,13,-14,36:26,.385,.344,.375,.125,7.7,6.3,7.1,35.9,0.0,0.0,22.9,24.3,94,134,-9.9
Amir Coffey,30:10,6,11,.545,4,6,.667,0,0,,1,9,10,4,0,1,1,4,16,-6,30:10,.727,.727,.545,.000,3.1,34.1,17.1,17.0,0.0,3.2,8.3,16.1,145,126,5.7
Terance Mann,30:02,6,10,.600,2,6,.333,2,2,1.000,2,0,2,1,0,2,0,2,16,-10,30:02,.735,.700,.600,.200,6.3,0.0,3.4,4.3,0.0,6.5,0.0,14.7,161,130,3.9
Ivica Zubac,26:11,9,11,.818,0,0,,0,0,,3,3,6,1,1,1,1,5,18,-19,26:11,.818,.818,.000,.000,10.8,13.1,11.8,6.0,1.9,3.7,8.3,18.6,152,125,3.9
P.J. Tucker,25:30,3,9,.333,1,6,.167,0,0,,4,2,6,2,0,1,1,0,7,-8,25:30,.389,.389,.667,.000,14.8,9.0,12.1,9.1,0.0,3.8,10.0,15.9,103,130,-5.0
Norman Powell,31:09,9,21,.429,3,14,.214,5,6,.833,0,7,7,2,1,0,1,2,26,+3,31:09,.550,.500,.667,.286,0.0,25.7,11.6,9.3,1.6,0.0,4.1,32.1,118,127,0.5
Bones Hyland,21:03,5,12,.417,2,5,.400,0,0,,0,2,2,5,1,0,0,2,12,+2,21:03,.500,.500,.417,.000,0.0,10.9,4.9,32.0,2.3,0.0,0.0,23.1,126,128,2.0
Brandon Boston Jr.,17:58,2,9,.222,1,3,.333,0,0,,2,3,5,1,0,2,0,2,5,+3,17:58,.278,.278,.333,.000,10.5,19.1,14.4,6.4,0.0,10.9,0.0,20.3,85,123,-8.5
Daniel Theis,14:34,1,2,.500,0,1,.000,0,0,,1,5,6,0,0,2,0,2,2,+17,14:34,.500,.500,.500,.000,6.5,39.2,21.3,0.0,0.0,13.4,0.0,5.6,127,117,-4.0
Mason Plumlee,6:57,1,3,.333,0,0,,0,0,,1,2,3,3,0,0,1,0,2,-3,6:57,.333,.333,.000,.000,13.5,32.9,22.3,51.7,0.0,0.0,25.0,23.3,97,129,3.7
Kobe Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Moussa Diabaté,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Xavier Moon,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Joshua Primo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,47,104,.452,14,47,.298,9,10,.900,17,35,52,30,3,9,10,23,117,,240,.540,.519,.452,.096,33.3,83.3,55.9,63.8,3.1,18.4,8.4,100.0,120.2,127.4,
