Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Naz Reid,42:18,9,17,.529,5,10,.500,2,3,.667,0,5,5,3,0,4,3,4,25,-10,42:18,.682,.676,.588,.176,0.0,13.8,6.0,11.1,0.0,7.7,14.1,21.3,114,120,3.9
Anthony Edwards,39:53,10,23,.435,2,9,.222,3,4,.750,1,6,7,7,2,2,3,2,25,-14,39:53,.505,.478,.391,.174,2.3,17.6,9.0,29.1,2.4,4.1,10.8,29.4,103,116,3.7
Nickeil Alexander-Walker,39:02,6,11,.545,3,4,.750,0,0,,4,3,7,5,2,0,1,1,15,-3,39:02,.682,.682,.364,.000,9.3,9.0,9.2,18.3,2.5,0.0,8.3,13.0,142,120,5.6
Jaden McDaniels,32:06,5,17,.294,0,5,.000,0,0,,3,3,6,1,2,0,0,1,10,-22,32:06,.294,.294,.294,.000,8.5,10.9,9.5,4.5,3.0,0.0,0.0,22.4,75,119,-9.6
Mike Conley,28:32,3,6,.500,1,3,.333,2,2,1.000,0,3,3,6,1,0,0,3,9,-24,28:32,.654,.583,.500,.333,0.0,12.3,5.4,28.1,1.7,0.0,0.0,10.2,157,121,0.4
T.J. Warren,22:58,2,7,.286,0,2,.000,0,0,,1,2,3,2,1,0,1,2,4,+4,22:58,.286,.286,.286,.000,3.9,10.2,6.7,11.4,2.1,0.0,12.5,14.7,71,121,-9.5
Jordan McLaughlin,21:12,4,9,.444,4,9,.444,0,0,,0,4,4,2,0,0,1,2,12,+9,21:12,.667,.667,1.000,.000,0.0,22.1,9.6,14.2,0.0,0.0,10.0,19.9,117,122,0.8
Luka Garza,10:02,2,5,.400,1,3,.333,4,4,1.000,2,1,3,1,0,0,1,3,9,-1,10:02,.666,.500,.600,.800,18.1,11.7,15.3,15.2,0.0,0.0,12.9,32.6,132,124,2.5
Josh Minott,1:19,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2,1:19,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1,0,128,-64.2
Wendell Moore Jr.,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,1:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,128,-9.1
Daishen Nix,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,+2,1:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32.1,0,128,-45.7
Kyle Anderson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Rudy Gobert,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,97,.423,16,46,.348,11,13,.846,11,27,38,27,8,6,11,18,109,,240,.531,.505,.474,.134,20.8,65.9,40.4,65.9,8.0,10.2,9.7,100.0,108.9,119.9,
