Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Corey Kispert,39:16,8,15,.533,5,10,.500,1,2,.500,3,2,5,6,0,0,2,1,22,+12,39:16,.693,.700,.667,.133,8.9,4.9,6.7,25.1,0.0,0.0,11.2,20.7,127,118,4.1
Kyle Kuzma,38:26,9,23,.391,2,7,.286,12,16,.750,1,8,9,4,0,2,4,2,32,+9,38:26,.533,.435,.304,.696,3.0,20.0,12.4,18.0,0.0,4.0,11.8,40.2,101,109,-2.9
Tyus Jones,38:11,5,9,.556,2,5,.400,0,0,,0,4,4,16,1,0,1,0,12,+9,38:11,.667,.667,.556,.000,0.0,10.1,5.5,61.5,1.3,0.0,10.0,11.9,157,113,6.0
Bilal Coulibaly,36:19,4,8,.500,3,5,.600,0,0,,0,4,4,1,2,2,1,2,11,+17,36:19,.688,.688,.625,.000,0.0,10.6,5.8,3.9,2.7,4.3,11.1,11.3,105,107,1.8
Deni Avdija,35:29,7,14,.500,1,4,.250,1,1,1.000,2,8,10,2,1,1,2,5,16,+9,35:29,.554,.536,.286,.071,6.6,21.6,14.9,9.2,1.4,2.2,12.2,21.0,101,106,-4.6
Jordan Poole,22:34,2,6,.333,2,5,.400,0,0,,0,4,4,6,1,0,4,5,6,-21,22:34,.500,.500,.833,.000,0.0,17.0,9.3,36.7,2.2,0.0,40.0,20.1,82,107,-8.2
Patrick Baldwin Jr.,11:07,3,5,.600,1,3,.333,1,1,1.000,0,2,2,0,0,0,1,0,8,-7,11:07,.735,.700,.600,.200,0.0,17.3,9.5,0.0,0.0,0.0,15.5,26.3,107,113,-0.8
Johnny Davis,8:47,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,0,1,1,-4,8:47,.568,,,,0.0,21.9,12.0,0.0,0.0,0.0,0.0,4.6,123,110,-7.5
Landry Shamet,7:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-9,7:01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,-11.7
Eugene Omoruyi,2:42,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-4,2:42,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,200,118,-0.6
Anthony Gill,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1,0:06,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-8.5
Jules Bernard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
R.J. Hampton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Richaun Holmes,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,39,81,.481,16,39,.410,16,22,.727,6,34,40,35,5,5,15,18,110,,240,.607,.580,.481,.272,14.6,68.0,44.0,89.7,5.1,8.1,14.2,100.0,112.5,110.4,
