Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,36:29,9,20,.450,0,4,.000,5,6,.833,1,2,3,4,1,1,2,2,23,0,36:29,.508,.450,.200,.300,2.6,6.4,4.3,16.9,1.3,3.1,8.1,28.0,110,115,-1.3
Bam Adebayo,34:59,7,14,.500,0,0,,2,6,.333,7,9,16,2,2,1,0,3,16,-9,34:59,.481,.500,.000,.429,19.2,30.1,24.1,8.2,2.8,3.3,0.0,19.7,123,108,1.5
Terry Rozier,34:59,8,16,.500,0,3,.000,0,0,,0,7,7,4,2,0,2,2,16,-9,34:59,.500,.500,.188,.000,0.0,23.4,10.6,17.1,2.8,0.0,11.1,21.3,103,111,-2.8
Duncan Robinson,33:33,5,16,.313,4,13,.308,2,2,1.000,1,1,2,1,0,0,5,3,16,-11,33:33,.474,.438,.813,.125,2.9,3.5,3.1,4.0,0.0,0.0,22.9,27.0,82,121,-13.0
Nikola Jović,22:53,3,6,.500,1,4,.250,3,3,1.000,1,5,6,4,1,1,1,3,10,0,22:53,.683,.583,.667,.500,4.2,25.6,13.8,22.9,2.1,5.0,12.0,15.1,144,109,7.3
Caleb Martin,30:28,4,9,.444,3,3,1.000,0,0,,3,4,7,3,1,1,1,1,11,+3,30:28,.611,.611,.333,.000,9.5,15.4,12.1,12.9,1.6,3.8,10.0,13.6,134,113,4.7
Jaime Jaquez Jr.,24:51,3,6,.500,0,1,.000,0,1,.000,2,5,7,2,2,2,2,2,6,+5,24:51,.466,.500,.167,.167,7.7,23.6,14.9,10.4,3.9,9.2,23.7,14.1,91,102,0.4
Patty Mills,14:04,3,7,.429,1,4,.250,0,0,,0,2,2,0,0,0,0,2,7,+9,14:04,.500,.500,.571,.000,0.0,16.6,7.5,0.0,0.0,0.0,0.0,20.6,110,118,-8.2
Haywood Highsmith,4:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-2,4:59,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,300,122,12.4
Orlando Robinson,2:42,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+4,2:42,,,,,35.6,0.0,19.5,0.0,0.0,0.0,,0.0,219,122,-6.2
Thomas Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cole Swider,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Delon Wright,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,95,.453,10,33,.303,12,18,.667,16,35,51,20,9,6,13,18,108,,240,.525,.505,.347,.189,32.0,85.4,56.0,46.5,9.2,14.3,11.2,100.0,110.4,112.5,
