Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ayo Dosunmu,29:04,4,13,.308,1,5,.200,0,0,,2,6,8,6,1,1,2,2,9,-35,29:04,.346,.346,.385,.000,6.2,25.4,14.4,34.9,1.7,3.2,13.3,22.2,84,130,-2.5
Coby White,27:05,4,14,.286,1,6,.167,3,3,1.000,1,1,2,1,0,0,2,2,12,-18,27:05,.392,.321,.429,.214,3.3,4.5,3.9,6.3,0.0,0.0,11.5,27.5,80,140,-12.8
Nikola Vučević,26:20,6,13,.462,1,4,.250,0,0,,2,4,6,2,0,1,3,0,13,-22,26:20,.500,.500,.308,.000,6.9,18.7,11.9,15.1,0.0,3.5,18.8,26.1,89,135,-3.8
DeMar DeRozan,22:05,4,9,.444,0,1,.000,5,6,.833,0,2,2,2,0,0,1,1,13,-12,22:05,.558,.444,.111,.667,0.0,11.1,4.7,16.5,0.0,0.0,7.9,24.6,114,139,-2.8
Alex Caruso,21:02,1,6,.167,1,6,.167,1,4,.250,2,3,5,3,1,0,1,1,4,-9,21:02,.258,.250,1.000,.667,8.6,17.6,12.4,20.9,2.4,0.0,11.4,17.9,73,132,-6.8
Julian Phillips,27:57,3,7,.429,2,3,.667,3,3,1.000,2,1,3,0,2,0,0,0,11,-9,27:57,.661,.571,.429,.429,6.5,4.4,5.6,0.0,3.6,0.0,0.0,12.8,146,132,3.4
Onuralp Bitim,25:16,8,16,.500,1,6,.167,0,0,,3,2,5,1,0,0,1,3,17,-21,25:16,.531,.531,.375,.000,10.8,9.7,10.3,9.6,0.0,0.0,5.9,28.9,108,139,-2.4
Torrey Craig,16:32,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,2,0,-21,16:32,.000,.000,1.000,.000,5.5,0.0,3.2,0.0,0.0,0.0,50.0,5.2,27,141,-17.4
Andre Drummond,16:28,1,3,.333,0,0,,2,4,.500,1,9,10,1,1,0,1,0,4,-11,16:28,.420,.333,.000,1.333,5.5,67.3,31.7,9.1,3.1,0.0,17.4,15.0,86,121,-1.7
Jevon Carter,13:25,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1,3,-17,13:25,.798,1.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,158,141,-8.1
Dalen Terry,7:23,2,5,.400,0,2,.000,0,0,,0,0,0,2,1,0,1,0,4,0,7:23,1.000,1.000,.000,.000,0.0,16.7,7.1,22.8,0.0,0.0,0.0,5.8,204,138,3.5
Terry Taylor,7:23,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,0,7:23,.400,.400,.400,.000,0.0,0.0,0.0,59.1,6.9,0.0,16.7,34.9,82,126,2.1
Team Totals,240,35,89,.393,7,34,.206,15,22,.682,14,29,43,19,6,2,13,12,92,,240,.466,.433,.382,.247,26.4,74.4,46.7,54.3,6.3,3.8,11.6,100.0,97.3,134.4,
