Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keyonte George,35:07,9,17,.529,5,10,.500,3,4,.750,0,1,1,6,0,2,3,5,26,-26,35:07,.693,.676,.588,.235,0.0,3.2,1.6,28.6,0.0,6.4,13.8,29.5,127,142,4.1
Collin Sexton,31:17,9,16,.563,1,4,.250,1,1,1.000,5,2,7,5,0,1,5,5,20,-8,31:17,.608,.594,.250,.063,18.7,7.1,12.8,28.2,0.0,3.6,23.3,32.6,111,141,-3.7
John Collins,29:19,2,9,.222,2,4,.500,4,4,1.000,0,4,4,0,0,2,1,1,10,-4,29:19,.465,.333,.444,.444,0.0,15.2,7.8,0.0,0.0,7.6,8.5,19.1,92,136,-9.1
Brice Sensabaugh,23:03,1,5,.200,0,2,.000,0,0,,0,4,4,4,0,0,0,1,2,+1,23:03,.200,.200,.400,.000,0.0,19.4,9.9,21.4,0.0,0.0,0.0,10.3,87,138,-8.5
Luka Šamanić,14:19,2,4,.500,1,1,1.000,2,2,1.000,1,6,7,1,0,0,0,0,7,+5,14:19,.717,.625,.250,.500,8.2,46.8,27.9,9.8,0.0,0.0,0.0,16.2,161,127,6.1
Jordan Clarkson,33:41,10,18,.556,1,4,.250,0,0,,0,0,0,2,1,0,1,3,21,-21,33:41,.583,.583,.222,.000,0.0,0.0,0.0,10.7,1.6,0.0,5.3,26.9,113,142,-5.4
Kris Dunn,24:25,2,6,.333,2,3,.667,0,0,,0,3,3,4,1,1,0,2,6,+1,24:25,.500,.500,.500,.000,0.0,13.7,7.0,21.2,2.2,4.6,0.0,11.7,129,133,0.4
Walker Kessler,18:41,1,1,1.000,0,0,,0,0,,3,5,8,1,0,1,0,0,2,-12,18:41,1.000,1.000,.000,.000,18.8,29.9,24.5,6.7,0.0,6.0,0.0,2.5,224,131,1.1
Talen Horton-Tucker,17:16,2,7,.286,1,2,.500,0,0,,0,2,2,0,2,0,0,0,5,-11,17:16,.357,.357,.286,.000,0.0,12.9,6.6,0.0,6.2,0.0,0.0,19.3,75,126,-6.7
Micah Potter,12:52,3,3,1.000,2,2,1.000,0,0,,0,2,2,0,0,0,0,1,8,-5,12:52,1.333,1.333,.667,.000,0.0,17.4,8.9,0.0,0.0,0.0,0.0,11.1,267,139,10.6
Johnny Juzang,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kira Lewis Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kenneth Lofton Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Omer Yurtseven,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,86,.477,15,32,.469,10,11,.909,9,29,38,23,4,7,10,18,107,,240,.589,.564,.372,.128,22.0,67.4,45.2,56.1,4.4,16.3,9.9,100.0,118.7,136.4,
