Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Hart,39:04,8,16,.500,1,6,.167,3,4,.750,1,18,19,10,1,1,1,1,20,+32,39:04,.563,.531,.375,.250,3.7,45.1,28.5,40.7,1.4,2.6,5.3,23.6,135,82,13.5
Donte DiVincenzo,34:24,4,11,.364,4,9,.444,4,4,1.000,1,1,2,4,1,1,1,2,16,+32,34:24,.627,.545,.818,.364,4.2,2.8,3.4,16.2,1.6,3.0,7.3,19.7,134,93,6.1
OG Anunoby,28:45,6,11,.545,2,5,.400,0,0,,0,4,4,2,1,0,3,0,14,+28,28:45,.636,.636,.455,.000,0.0,13.6,8.1,11.1,1.9,0.0,21.4,23.9,96,92,0.2
Jalen Brunson,27:04,7,12,.583,4,8,.500,2,3,.667,0,4,4,9,1,0,1,0,20,+24,27:04,.751,.750,.667,.250,0.0,14.5,8.7,57.9,2.1,0.0,7.0,26.0,155,91,20.6
Isaiah Hartenstein,19:51,3,3,1.000,0,0,,0,0,,3,2,5,2,0,0,0,3,6,+17,19:51,1.000,1.000,.000,.000,22.0,9.9,14.7,14.8,0.0,0.0,0.0,7.4,216,96,5.5
Precious Achiuwa,23:57,6,8,.750,0,1,.000,1,2,.500,3,5,8,1,0,2,4,5,13,+13,23:57,.732,.750,.125,.250,18.2,20.5,19.6,7.2,0.0,8.5,31.1,26.4,101,87,-2.9
Miles McBride,22:58,5,8,.625,3,5,.600,0,0,,0,2,2,2,0,0,0,2,13,+5,22:58,.813,.813,.625,.000,0.0,8.5,5.1,14.1,0.0,0.0,0.0,17.1,159,97,7.6
Bojan Bogdanović,22:16,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,2,1,0,-4,22:16,.000,.000,.500,.000,0.0,8.8,5.3,5.4,0.0,0.0,50.0,8.8,18,97,-14.0
Alec Burks,11:34,1,6,.167,0,4,.000,0,0,,0,2,2,1,0,0,0,0,2,-7,11:34,.167,.167,.667,.000,0.0,16.9,10.1,11.6,0.0,0.0,0.0,25.5,52,95,-19.7
Jericho Sims,5:55,0,0,,0,0,,0,0,,1,2,3,0,0,0,0,0,0,-2,5:55,,,,,24.6,33.1,29.7,0.0,0.0,0.0,,0.0,232,91,0.4
Shake Milton,4:12,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,1,2,-3,4:12,.347,.000,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,86,99,-23.0
Mitchell Robinson,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,40,79,.506,14,40,.350,12,15,.800,9,42,51,32,4,4,12,15,106,,240,.619,.595,.506,.190,27.3,85.7,62.2,80.0,4.6,8.5,12.3,100.0,123.0,91.7,
