Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
DeMar DeRozan,44:08,15,24,.625,1,6,.167,15,17,.882,0,9,9,3,2,1,2,1,46,+18,44:08,.731,.646,.250,.708,0.0,21.6,11.4,12.0,2.2,2.2,6.0,34.3,142,116,11.5
Nikola Vučević,43:10,6,14,.429,0,4,.000,0,0,,1,11,12,3,1,0,1,4,12,+23,43:10,.429,.429,.286,.000,2.7,27.0,15.5,9.1,1.1,0.0,6.7,15.7,93,118,-5.7
Ayo Dosunmu,43:02,7,12,.583,1,4,.250,5,6,.833,0,4,4,3,0,2,2,3,20,+1,43:02,.683,.625,.333,.500,0.0,9.9,5.2,9.4,0.0,4.6,12.0,17.5,125,121,-0.5
Alex Caruso,36:44,9,13,.692,5,6,.833,0,0,,1,6,7,7,1,0,1,3,23,+22,36:44,.885,.885,.462,.000,3.2,17.3,10.6,28.8,1.3,0.0,7.1,17.3,168,120,13.3
Coby White,36:20,6,17,.353,1,3,.333,2,3,.667,2,2,4,3,2,1,1,2,15,+5,36:20,.409,.382,.176,.176,6.5,5.8,6.1,11.2,2.7,2.7,5.2,24.1,93,117,-4.6
Torrey Craig,21:57,3,5,.600,2,4,.500,2,2,1.000,1,4,5,2,0,0,1,3,10,-12,21:57,.850,.800,.800,.400,5.4,19.3,12.7,11.8,0.0,0.0,14.5,14.2,152,123,4.0
Onuralp Bitim,12:58,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-9,12:58,1.000,1.000,.000,.000,0.0,8.2,4.3,9.3,0.0,0.0,50.0,7.0,104,125,-2.6
Julian Phillips,11:11,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,1,1,2,0,-8,11:11,.000,.000,.500,.000,0.0,9.5,5.0,0.0,0.0,8.8,33.3,12.1,0,118,-16.4
Andre Drummond,9:53,1,4,.250,0,0,,1,2,.500,1,3,4,0,0,0,1,3,3,-18,9:53,.307,.250,.000,.500,11.9,32.2,22.6,0.0,0.0,0.0,17.0,26.9,66,119,-22.8
Dalen Terry,5:37,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1,-7,5:37,.568,,,,21.0,0.0,9.9,0.0,0.0,0.0,0.0,7.1,158,127,-2.7
Jevon Carter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Terry Taylor,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,48,92,.522,10,28,.357,26,32,.813,7,41,48,22,6,5,11,21,132,,265,.622,.576,.304,.348,15.6,82.0,50.5,45.8,5.5,9.3,9.4,100.0,122.0,119.2,
