Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dalano Banton,41:45,6,20,.300,2,9,.222,2,2,1.000,0,2,2,2,4,0,5,2,16,-20,41:45,.383,.350,.450,.100,0.0,4.9,2.4,8.5,5.0,0.0,19.3,27.5,69,111,-8.1
Deandre Ayton,40:00,12,21,.571,1,1,1.000,6,6,1.000,6,8,14,0,0,1,3,1,31,-12,40:00,.656,.595,.048,.286,15.0,20.4,17.7,0.0,0.0,2.1,11.3,29.6,124,114,4.3
Toumani Camara,34:11,3,6,.500,1,3,.333,0,0,,1,2,3,4,3,0,2,4,7,-7,34:11,.583,.583,.500,.000,2.9,6.0,4.4,18.9,4.5,0.0,25.0,10.4,106,112,1.1
Kris Murray,31:14,3,8,.375,2,6,.333,2,2,1.000,1,3,4,1,0,1,0,1,10,-7,31:14,.563,.500,.750,.250,3.2,9.8,6.5,5.2,0.0,2.6,0.0,12.6,129,118,0.4
Scoot Henderson,25:58,4,13,.308,1,4,.250,3,4,.750,0,7,7,6,1,0,2,5,12,-15,25:58,.407,.346,.308,.308,0.0,27.5,13.6,41.7,2.0,0.0,11.9,28.7,94,108,-4.2
Ashton Hagans,22:02,3,5,.600,2,3,.667,0,0,,1,4,5,3,0,0,2,2,8,+3,22:02,.800,.800,.600,.000,4.5,18.5,11.5,23.8,0.0,0.0,28.6,14.1,122,116,1.1
Matisse Thybulle,20:41,2,6,.333,1,4,.250,0,0,,0,2,2,3,2,0,2,1,5,-2,20:41,.417,.417,.667,.000,0.0,9.9,4.9,23.7,5.0,0.0,25.0,17.2,80,109,-1.4
Justin Minaya,12:55,1,3,.333,1,3,.333,1,2,.500,2,3,5,0,0,0,0,1,4,-3,12:55,.515,.500,1.000,.667,15.5,23.7,19.6,0.0,0.0,0.0,0.0,13.3,127,114,-0.6
Duop Reath,11:14,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,1,2,0,+3,11:14,.000,.000,.000,.000,17.8,9.1,13.5,0.0,0.0,0.0,33.3,11.9,37,120,-20.4
Moses Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Rayan Rupert,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Shaedon Sharpe,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,34,84,.405,11,33,.333,14,16,.875,13,32,45,19,10,2,17,19,93,,240,.511,.470,.393,.190,27.1,68.1,47.4,55.9,10.8,3.4,15.7,100.0,100.2,113.2,
