Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,33:59,6,16,.375,1,2,.500,2,2,1.000,2,8,10,8,4,0,3,4,15,+9,33:59,.444,.406,.125,.125,7.2,25.1,16.8,27.9,5.8,0.0,15.1,26.4,99,100,-1.6
Nikola Jokić,30:54,13,19,.684,1,3,.333,4,4,1.000,1,6,7,5,0,2,3,1,31,+7,30:54,.747,.711,.158,.211,4.0,20.7,12.9,27.0,0.0,6.0,12.6,34.7,130,112,10.9
Kentavious Caldwell-Pope,26:49,2,5,.400,0,1,.000,0,0,,0,0,0,3,3,0,2,3,4,+4,26:49,.400,.400,.200,.000,0.0,0.0,0.0,11.8,5.6,0.0,28.6,11.8,75,109,-7.1
Aaron Gordon,25:06,3,3,1.000,0,0,,1,2,.500,1,2,3,7,0,0,1,2,7,+3,25:06,.902,1.000,.000,.667,4.9,8.5,6.8,30.9,0.0,0.0,20.5,8.8,166,119,3.7
Michael Porter Jr.,23:01,5,9,.556,2,5,.400,1,1,1.000,0,7,7,1,1,0,0,1,13,+5,23:01,.689,.667,.556,.111,0.0,32.4,17.4,5.4,2.2,0.0,0.0,18.5,133,107,3.0
Christian Braun,24:17,5,7,.714,2,3,.667,1,2,.500,1,3,4,4,3,0,1,1,13,+8,24:17,.825,.857,.429,.286,5.1,13.2,9.4,20.2,6.1,0.0,11.3,16.5,147,104,12.7
Peyton Watson,22:54,5,11,.455,0,3,.000,0,1,.000,1,2,3,2,0,0,1,4,10,+8,22:54,.437,.455,.273,.091,5.4,9.3,7.5,10.9,0.0,0.0,8.0,24.5,89,118,-14.1
Justin Holiday,21:10,5,9,.556,3,6,.500,0,0,,0,1,1,2,2,0,0,2,13,+7,21:10,.722,.722,.667,.000,0.0,5.0,2.7,12.0,4.7,0.0,0.0,19.2,138,109,7.0
Zeke Nnaji,16:24,2,2,1.000,0,0,,0,0,,1,3,4,2,0,3,0,1,4,+6,16:24,1.000,1.000,.000,.000,7.5,19.5,13.9,13.6,0.0,16.9,0.0,5.5,209,105,9.7
Reggie Jackson,14:01,3,8,.375,1,2,.500,0,0,,0,1,1,3,0,0,1,1,7,+2,14:01,.438,.438,.250,.000,0.0,7.6,4.1,26.5,0.0,0.0,11.1,29.0,90,119,-11.0
Jay Huff,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-10.5
Julian Strawther,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-9.5
DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,49,89,.551,10,25,.400,9,12,.750,7,33,40,37,13,5,12,20,117,,240,.620,.607,.281,.135,17.9,73.3,47.6,75.5,13.4,9.6,11.3,100.0,121.0,109.6,
