Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,37:57,5,15,.333,1,6,.167,2,2,1.000,0,8,8,5,1,0,3,1,13,-2,37:57,.409,.367,.400,.133,0.0,17.2,9.6,18.8,1.3,0.0,15.9,22.6,82,100,-5.5
Bradley Beal,36:11,7,11,.636,1,3,.333,0,0,,2,4,6,7,0,0,2,2,15,+13,36:11,.682,.682,.273,.000,5.8,9.0,7.6,30.2,0.0,0.0,15.4,16.3,129,106,3.0
Devin Booker,36:04,6,18,.333,1,8,.125,8,8,1.000,0,6,6,11,1,1,2,2,21,+17,36:04,.488,.361,.444,.444,0.0,13.5,7.6,45.7,1.4,2.3,8.5,29.6,113,99,5.6
Grayson Allen,33:11,6,12,.500,3,9,.333,2,2,1.000,0,0,0,3,1,0,0,1,17,+8,33:11,.660,.625,.750,.167,0.0,0.0,0.0,13.9,1.5,0.0,0.0,17.6,135,106,5.0
Jusuf Nurkić,30:33,5,9,.556,0,0,,3,7,.429,5,16,21,2,0,1,2,5,13,+1,30:33,.538,.556,.000,.778,17.1,42.6,31.4,9.8,0.0,2.8,14.2,20.9,110,90,-0.6
Eric Gordon,25:45,5,9,.556,4,8,.500,0,0,,0,1,1,2,0,0,0,4,14,+12,25:45,.778,.778,.889,.000,0.0,3.2,1.8,12.2,0.0,0.0,0.0,15.9,146,108,4.6
Royce O'Neale,14:49,2,2,1.000,1,1,1.000,0,0,,0,3,3,1,0,0,0,1,5,+3,14:49,1.250,1.250,.500,.000,0.0,16.5,9.3,9.7,0.0,0.0,0.0,6.1,245,103,6.3
Drew Eubanks,14:47,3,4,.750,0,0,,0,0,,2,6,8,0,0,0,1,2,6,+11,14:47,.750,.750,.000,.000,14.1,33.0,24.7,0.0,0.0,0.0,20.0,15.3,120,96,-1.5
Bol Bol,7:45,1,5,.200,0,2,.000,1,1,1.000,1,2,3,0,0,1,0,2,3,-4,7:45,.276,.200,.400,.200,13.5,21.0,17.7,0.0,0.0,10.9,0.0,31.8,73,93,-15.7
Nassir Little,1:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2,1:29,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,0,109,-35.4
David Roddy,1:29,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2,1:29,.000,.000,.000,.000,0.0,54.8,30.8,0.0,0.0,0.0,0.0,30.6,0,88,-30.2
Thaddeus Young,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,87,.460,11,38,.289,16,20,.800,10,47,57,31,3,3,10,20,107,,240,.558,.523,.437,.230,21.7,79.7,54.3,77.5,3.2,5.3,9.5,100.0,112.6,101.0,
